arm,panel,row,col,n_frozen,n_preC6
H1 human spleen,A0xB,A_ported_pre_disjointness,B4,45,
H1 human spleen,A0xB,A_ported_pre_disjointness,B5,2,
H1 human spleen,A0xB,A_ported_pre_disjointness,B6,2,
H1 human spleen,A0xB,A_ported_pre_disjointness,B7,0,
H1 human spleen,A0xB,"A_PHASE7_S10_16 (variant, FAILED)",B1,2,
H1 human spleen,A0xB,"A_PHASE7_S10_16 (variant, FAILED)",B2,0,
H1 human spleen,A0xB,"A_PHASE7_S10_16 (variant, FAILED)",B3,1,
H1 human spleen,A0xB,"A_PHASE7_S10_16 (variant, FAILED)",B4,8,
H1 human spleen,A0xB,"A_PHASE7_S10_16 (variant, FAILED)",B5,1,
H1 human spleen,A0xB,"A_PHASE7_S10_16 (variant, FAILED)",B6,0,
H1 human spleen,A0xB,"A_PHASE7_S10_16 (variant, FAILED)",B7,0,
H1 human spleen,frozenAxB,A_sender_for_tnfa_nfkb_proximal (sensitivity),B1,0,
H1 human spleen,frozenAxB,A_sender_for_tnfa_nfkb_proximal (sensitivity),B2,0,
H1 human spleen,frozenAxB,A_sender_for_tnfa_nfkb_proximal (sensitivity),B3,0,
H1 human spleen,frozenAxB,A_sender_for_tnfa_nfkb_proximal (sensitivity),B4,43,
H1 human spleen,frozenAxB,A_sender_for_tnfa_nfkb_proximal (sensitivity),B5,1,
H1 human spleen,frozenAxB,A_sender_for_tnfa_nfkb_proximal (sensitivity),B6,1,
H1 human spleen,frozenAxB,A_sender_for_tnfa_nfkb_proximal (sensitivity),B7,0,
H1 human spleen,frozenAxB,A_sender_for_il6_jak_stat3 (sensitivity),B1,4,
H1 human spleen,frozenAxB,A_sender_for_il6_jak_stat3 (sensitivity),B2,0,
H1 human spleen,frozenAxB,A_sender_for_il6_jak_stat3 (sensitivity),B3,1,
H1 human spleen,frozenAxB,A_sender_for_il6_jak_stat3 (sensitivity),B4,45,
H1 human spleen,frozenAxB,A_sender_for_il6_jak_stat3 (sensitivity),B5,2,
H1 human spleen,frozenAxB,A_sender_for_il6_jak_stat3 (sensitivity),B6,2,
H1 human spleen,frozenAxB,A_sender_for_il6_jak_stat3 (sensitivity),B7,0,
H1 human spleen,frozenAxB,A_sender_for_interferon_response (sensitivity),B1,3,
H1 human spleen,frozenAxB,A_sender_for_interferon_response (sensitivity),B2,0,
H1 human spleen,frozenAxB,A_sender_for_interferon_response (sensitivity),B3,0,
H1 human spleen,frozenAxB,A_sender_for_interferon_response (sensitivity),B4,44,
H1 human spleen,frozenAxB,A_sender_for_interferon_response (sensitivity),B5,2,
H1 human spleen,frozenAxB,A_sender_for_interferon_response (sensitivity),B6,2,
H1 human spleen,frozenAxB,A_sender_for_interferon_response (sensitivity),B7,0,
H1 human spleen,frozenAxB,A_sender_for_downstream_arrest (sensitivity),B1,2,
