kind,module,celltype,bin_lo,bin_hi,n,mean,sem
strat,downstream_arrest,Macrophages,15.0,17.5,4001.0,-0.002722087154087965,0.015973810854956586
strat,downstream_arrest,Macrophages,17.5,20.0,3946.0,-0.0021728576179669643,0.015465706713839142
strat,downstream_arrest,Macrophages,20.0,25.0,7971.0,0.006491425937012324,0.011303971194083088
strat,downstream_arrest,Macrophages,25.0,30.0,8327.0,-0.0165639163710178,0.010897937359470245
strat,downstream_arrest,Macrophages,30.0,35.0,7712.0,0.009777860397002963,0.011306912760205708
strat,downstream_arrest,Macrophages,35.0,40.0,7030.0,-0.012497169039445498,0.011910507923810614
strat,downstream_arrest,Macrophages,40.0,50.0,11508.0,-0.002907065090248867,0.009277584197120905
strat,downstream_arrest,Macrophages,50.0,60.0,8112.0,-0.0057702409276348095,0.010986660751997428
strat,downstream_arrest,Macrophages,60.0,75.0,6798.0,0.00625744864551044,0.011869746738172189
strat,downstream_arrest,Macrophages,75.0,100.0,3677.0,0.02255632431171735,0.01631321223394981
unstrat,downstream_arrest,Macrophages,0.0,2.0,0.0,,
unstrat,downstream_arrest,Macrophages,2.0,4.0,61.0,0.05651835425906793,0.2035468120053752
unstrat,downstream_arrest,Macrophages,4.0,6.0,950.0,-0.245710818824109,0.03575097193169946
unstrat,downstream_arrest,Macrophages,6.0,8.0,2069.0,-0.10819715401150852,0.025048084006284083
unstrat,downstream_arrest,Macrophages,8.0,10.0,2587.0,-0.12053501819445263,0.02168909280922665
unstrat,downstream_arrest,Macrophages,10.0,12.5,3649.0,-0.1500121076391604,0.01746985281191504
unstrat,downstream_arrest,Macrophages,12.5,15.0,3903.0,-0.13320919361257846,0.016727494242706562
unstrat,downstream_arrest,Macrophages,15.0,17.5,4001.0,-0.1432971251820388,0.016769177457809353
unstrat,downstream_arrest,Macrophages,17.5,20.0,3946.0,-0.14225003066662587,0.016286450806904263
unstrat,downstream_arrest,Macrophages,20.0,25.0,7971.0,-0.1286939376014218,0.011871698809546577
unstrat,downstream_arrest,Macrophages,25.0,30.0,8327.0,-0.1534771166868648,0.011466284824614165
unstrat,downstream_arrest,Macrophages,30.0,35.0,7712.0,-0.12420385490852082,0.011947400148749558
unstrat,downstream_arrest,Macrophages,35.0,40.0,7030.0,-0.14259850430998267,0.012594548289002205
unstrat,downstream_arrest,Macrophages,40.0,50.0,11508.0,-0.132028156556673,0.009809467906612607
unstrat,downstream_arrest,Macrophages,50.0,60.0,8112.0,-0.1309718649164511,0.011603408791574184
unstrat,downstream_arrest,Macrophages,60.0,75.0,6798.0,-0.1187092289523009,0.012519498871571014
unstrat,downstream_arrest,Macrophages,75.0,100.0,3677.0,-0.10173675759159173,0.017156712887311024
strat,downstream_arrest,Mesenchymal,0.0,2.0,0.0,,
strat,downstream_arrest,Mesenchymal,2.0,4.0,78.0,0.02184760122573081,0.12238210663985812
strat,downstream_arrest,Mesenchymal,4.0,6.0,1235.0,-0.04107315449581447,0.03233762825192556
strat,downstream_arrest,Mesenchymal,6.0,8.0,2812.0,-0.015077431945964682,0.02028006242791015
strat,downstream_arrest,Mesenchymal,8.0,10.0,3603.0,0.021070765314306746,0.017102532637256286
strat,downstream_arrest,Mesenchymal,10.0,12.5,5198.0,-0.05272972804243937,0.013896490034043245
strat,downstream_arrest,Mesenchymal,12.5,15.0,5331.0,-0.008186117316798646,0.014017265460910065
strat,downstream_arrest,Mesenchymal,15.0,17.5,5523.0,-0.004147974258433994,0.013608939957592098
strat,downstream_arrest,Mesenchymal,17.5,20.0,5612.0,-0.020743728183807052,0.013228329449996105
strat,downstream_arrest,Mesenchymal,20.0,25.0,11324.0,-0.00763928884237134,0.009400135996823489
strat,downstream_arrest,Mesenchymal,25.0,30.0,10981.0,-0.010184697327460237,0.00961198004426304
strat,downstream_arrest,Mesenchymal,30.0,35.0,10507.0,0.008290411316907737,0.009698913883002322
strat,downstream_arrest,Mesenchymal,35.0,40.0,9228.0,-0.0030495641931550838,0.010413668959961464
strat,downstream_arrest,Mesenchymal,40.0,50.0,14841.0,0.00378727568337082,0.008058315931662067
strat,downstream_arrest,Mesenchymal,50.0,60.0,9714.0,0.02042219485314919,0.009995394533056595
strat,downstream_arrest,Mesenchymal,60.0,75.0,8052.0,0.019012274971194842,0.010879528493830403
strat,downstream_arrest,Mesenchymal,75.0,100.0,4192.0,0.0487256402365746,0.015080747782555819
unstrat,downstream_arrest,Mesenchymal,0.0,2.0,0.0,,
unstrat,downstream_arrest,Mesenchymal,2.0,4.0,78.0,-0.2691629508737706,0.11829138558451449
unstrat,downstream_arrest,Mesenchymal,4.0,6.0,1235.0,-0.3393596711216618,0.03091372360790843
unstrat,downstream_arrest,Mesenchymal,6.0,8.0,2812.0,-0.3092946407291403,0.019554542966718096
unstrat,downstream_arrest,Mesenchymal,8.0,10.0,3603.0,-0.27214696839228547,0.016507154052830972
unstrat,downstream_arrest,Mesenchymal,10.0,12.5,5198.0,-0.34095400974204076,0.013475063755833062
unstrat,downstream_arrest,Mesenchymal,12.5,15.0,5331.0,-0.29740392085769324,0.013670038326867915
unstrat,downstream_arrest,Mesenchymal,15.0,17.5,5523.0,-0.2954194375431999,0.013243050898994736
unstrat,downstream_arrest,Mesenchymal,17.5,20.0,5612.0,-0.30704617095959386,0.012900065571039948
unstrat,downstream_arrest,Mesenchymal,20.0,25.0,11324.0,-0.29592035699264746,0.00922031873250052
unstrat,downstream_arrest,Mesenchymal,25.0,30.0,10981.0,-0.29631163862075693,0.009460243672596206
unstrat,downstream_arrest,Mesenchymal,30.0,35.0,10507.0,-0.2791256303380572,0.00953041278947845
unstrat,downstream_arrest,Mesenchymal,35.0,40.0,9228.0,-0.2900417793016736,0.010257558608625492
unstrat,downstream_arrest,Mesenchymal,40.0,50.0,14841.0,-0.2825448702517834,0.007938040132901778
unstrat,downstream_arrest,Mesenchymal,50.0,60.0,9714.0,-0.26375857122247465,0.009903417734897441
unstrat,downstream_arrest,Mesenchymal,60.0,75.0,8052.0,-0.26428028765820527,0.010769483144422687
unstrat,downstream_arrest,Mesenchymal,75.0,100.0,4192.0,-0.23278037536396598,0.015023262766813268
strat,downstream_arrest,T/NK cells,0.0,2.0,0.0,,
strat,downstream_arrest,T/NK cells,2.0,4.0,47.0,-0.0628457794450835,0.13525581849739549
strat,downstream_arrest,T/NK cells,4.0,6.0,575.0,0.11685080376338441,0.04323206142149184
strat,downstream_arrest,T/NK cells,6.0,8.0,1044.0,0.0465326277340513,0.03464597604236279
strat,downstream_arrest,T/NK cells,8.0,10.0,1081.0,0.04553315614511167,0.03128006710833975
strat,downstream_arrest,T/NK cells,10.0,12.5,1427.0,0.007744860507864641,0.027694178042918714
strat,downstream_arrest,T/NK cells,12.5,15.0,1564.0,0.012623704863498321,0.02585207392734943
strat,downstream_arrest,T/NK cells,15.0,17.5,1420.0,-0.029279494258053186,0.026311453432268685
strat,downstream_arrest,T/NK cells,17.5,20.0,1364.0,0.02236030775847678,0.029336916060712575
strat,downstream_arrest,T/NK cells,20.0,25.0,2741.0,0.006202259953179264,0.01942776160797725
strat,downstream_arrest,T/NK cells,25.0,30.0,2634.0,-0.01809567436155928,0.01844028318484222
strat,downstream_arrest,T/NK cells,30.0,35.0,2281.0,0.01194567086135217,0.02068734173637808
strat,downstream_arrest,T/NK cells,35.0,40.0,2126.0,-0.039110607173093684,0.020567380902298288
strat,downstream_arrest,T/NK cells,40.0,50.0,3251.0,-0.04416780883150719,0.017162425932197634
strat,downstream_arrest,T/NK cells,50.0,60.0,2124.0,-0.02543812481958542,0.021127912872473294
strat,downstream_arrest,T/NK cells,60.0,75.0,1797.0,0.035068663567924346,0.02285679668833599
strat,downstream_arrest,T/NK cells,75.0,100.0,991.0,0.03976951421170653,0.03166681200166476
unstrat,downstream_arrest,T/NK cells,0.0,2.0,0.0,,
unstrat,downstream_arrest,T/NK cells,2.0,4.0,47.0,0.3111523791490997,0.1695463739292879
unstrat,downstream_arrest,T/NK cells,4.0,6.0,575.0,0.5288654835496832,0.0533376377338868
unstrat,downstream_arrest,T/NK cells,6.0,8.0,1044.0,0.4551104103288306,0.04319175809969699
unstrat,downstream_arrest,T/NK cells,8.0,10.0,1081.0,0.4757375895442943,0.03930517417202088
unstrat,downstream_arrest,T/NK cells,10.0,12.5,1427.0,0.4334465193426486,0.034504078548240155
