section,cfg,stratified,celltype,module,family,n,aic,lam,d_half,best_family,d_aic_vs_cov
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,emt_ecm,step,31135,-224875.60350104302,12.818224546846722,13.0,step,-16.69818050522008
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,emt_ecm,spline,31135,-224869.42774088238,,,step,-10.522420344583225
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,il6_jak_stat3,exponential,31135,-221976.083138724,17.345738419684505,12.200000000000001,step,1.163069703063229
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,il6_jak_stat3,gaussian,31135,-221976.7547529886,14.911122358641625,17.6,step,0.4914554384595249
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,il6_jak_stat3,powerlaw,31135,-221973.9280021072,49.99999999999999,9.600000000000001,step,3.318206319876481
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,il6_jak_stat3,step,31135,-221980.1308471041,19.185852382096297,19.200000000000003,step,-2.8846386770310346
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,il6_jak_stat3,spline,31135,-221969.1721591246,,,step,8.074049302464118
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,interferon_response,exponential,31135,-225012.40153099602,30.20149733539872,21.0,spline,2.9839328840898816
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,interferon_response,gaussian,31135,-225013.50761881084,17.345738419684505,20.6,spline,1.8778450692771003
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,interferon_response,powerlaw,31135,-225011.53261796536,6.999999999999999,1.4000000000000001,spline,3.852845914749196
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,interferon_response,step,31135,-225015.71975823274,19.185852382096297,19.200000000000003,spline,-0.33429435262223706
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,interferon_response,spline,31135,-225021.77131680076,,,spline,-6.385852920648176
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,oxidative_stress,exponential,31135,-184995.03544678626,6.999999999999999,5.0,spline,-105.5270331329375
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,oxidative_stress,gaussian,31135,-184987.629418723,6.999999999999999,8.4,spline,-98.12100506966817
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,oxidative_stress,powerlaw,31135,-185006.75883360422,6.999999999999999,1.4000000000000001,spline,-117.2504199508985
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,oxidative_stress,step,31135,-184995.2810661404,6.999999999999999,7.0,spline,-105.77265248706681
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,oxidative_stress,spline,31135,-185010.8089211183,,,spline,-121.30050746497
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,secondary_senescence,exponential,31135,-239822.24211598898,6.999999999999999,5.0,powerlaw,-1.1838824345031753
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,secondary_senescence,gaussian,31135,-239821.46153448417,6.999999999999999,8.4,powerlaw,-0.4033009296981618
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,secondary_senescence,powerlaw,31135,-239823.06731478576,6.999999999999999,1.4000000000000001,powerlaw,-2.0090812312846538
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,secondary_senescence,step,31135,-239822.10737784862,6.999999999999999,7.0,powerlaw,-1.0491442941420246
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,secondary_senescence,spline,31135,-239820.96674168544,,,powerlaw,0.09149186903960072
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,tnfa_nfkb_proximal,exponential,31135,-228052.84042757028,49.99999999999999,34.800000000000004,step,-7.7901938949362375
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,tnfa_nfkb_proximal,gaussian,31135,-228053.9843836895,24.6860647223019,29.200000000000003,step,-8.934150014159968
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,tnfa_nfkb_proximal,powerlaw,31135,-228050.81945977305,49.99999999999999,71.4,step,-5.769226097705541
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,tnfa_nfkb_proximal,step,31135,-228056.93687894594,27.304873519796445,27.400000000000002,step,-11.88664527059882
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,Biliary/ductular,tnfa_nfkb_proximal,spline,31135,-228051.29058097067,,,step,-6.240347295330139
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,downstream_arrest,exponential,2623,-19259.604309840885,36.94920399670096,25.8,step,0.4165383525505604
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,downstream_arrest,gaussian,2623,-19259.687710330894,27.304873519796445,32.2,step,0.3331378625407524
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,downstream_arrest,powerlaw,2623,-19257.572621950778,45.204502969779604,39.2,step,2.448226242657256
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,downstream_arrest,step,2623,-19260.136377149334,28.716686174618605,28.8,step,-0.11552895589920809
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,downstream_arrest,spline,2623,-19251.92894804967,,,step,8.091900143765088
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,emt_ecm,exponential,2623,-18015.0453769805,9.472463873139185,6.6000000000000005,step,2.8292838819797907
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,emt_ecm,gaussian,2623,-18015.839227911176,9.006764443646388,10.8,step,2.035432951302937
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,emt_ecm,powerlaw,2623,-18012.90640960625,36.94920399670096,7.0,step,4.968251256228541
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,emt_ecm,step,2623,-18020.673267362257,12.18803582947357,12.200000000000001,step,-2.7986064997785434
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,emt_ecm,spline,2623,-18016.948832119964,,,step,0.9258287425145681
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,il6_jak_stat3,exponential,2623,-17420.690581110488,13.48099749887925,9.4,step,-2.9409321275634284
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,il6_jak_stat3,gaussian,2623,-17420.975801375975,14.911122358641625,17.6,step,-3.2261523930501426
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,il6_jak_stat3,powerlaw,2623,-17418.617196842406,42.98209161773131,8.200000000000001,step,-0.8675478594814194
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,il6_jak_stat3,step,2623,-17427.330862623192,25.962470509255517,26.0,step,-9.581213640267379
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,il6_jak_stat3,spline,2623,-17418.40970251866,,,step,-0.6600535357356421
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,interferon_response,exponential,2623,-17418.92055077066,35.13265199376635,24.400000000000002,step,-0.0413452155989944
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,interferon_response,gaussian,2623,-17419.16949441683,20.177866835741543,23.8,step,-0.2902888617682038
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,interferon_response,powerlaw,2623,-17416.895953090538,47.54182525407475,40.800000000000004,step,1.983252464524412
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,interferon_response,step,2623,-17421.061127661105,25.962470509255517,26.0,step,-2.181922106043203
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,interferon_response,spline,2623,-17412.446048797552,,,step,6.433156757510005
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,oxidative_stress,exponential,2623,-15294.29682646992,42.98209161773131,29.8,step,-2.037656770735339
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,oxidative_stress,gaussian,2623,-15294.683396748298,18.24260882600192,21.6,step,-2.4242270491140516
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,oxidative_stress,powerlaw,2623,-15292.275267266377,45.204502969779604,66.8,step,-0.016097567193355644
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,oxidative_stress,step,2623,-15296.12616298395,19.185852382096297,19.200000000000003,step,-3.8669932847660675
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,oxidative_stress,spline,2623,-15286.917526514484,,,step,5.341643184699933
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,secondary_senescence,exponential,2623,-19629.902116927442,49.99999999999999,34.800000000000004,step,2.3258407654284383
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,secondary_senescence,gaussian,2623,-19630.51125322769,40.868941774896264,48.2,step,1.716704465179646
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,secondary_senescence,powerlaw,2623,-19627.91380335131,49.99999999999999,71.4,step,4.314154341558606
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,secondary_senescence,step,2623,-19634.400115696786,36.94920399670096,37.0,step,-2.1721580039156834
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,secondary_senescence,spline,2623,-19627.45971639921,,,step,4.76824129365923
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,tnfa_nfkb_proximal,exponential,2623,-18206.84891846217,6.999999999999999,5.0,step,3.3579385801858734
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,tnfa_nfkb_proximal,gaussian,2623,-18206.864289136236,9.962242533302096,11.8,step,3.3425679061183473
7259_liver_sbr_Male_26-U1,phase5_win100_grid7_50,1,DC,tnfa_nfkb_proximal,powerlaw,2623,-18204.966205245128,6.999999999999999,1.4000000000000001,step,5.240651797226747
