section,arm,call,celltype,module,design,n,family,lam,p_pow,beta,rss,aic,aic0,d_aic_vs_cov,d_half,d_05,railed,k_params,lam_blk_lo,lam_blk_hi,best_family,d_aic_vs_best,sd_y
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,downstream_arrest,naive,24230,powerlaw,8.14292620081837,4.0,-0.033995679504710434,9.705139094738891,-189533.80935134427,-189528.58127891697,-5.2280724273005035,1.6,9.200000000000001,0,4,6.999999999999999,49.99999999999999,step,3.108766393037513,0.020018189679777695
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,downstream_arrest,naive,24230,step,13.48099749887925,,-0.0016728408373248343,9.70469499709688,-189536.9181177373,-189528.58127891697,-8.336838820338016,13.600000000000001,13.600000000000001,0,3,9.449751286952932,36.94920399670096,step,0.0,0.020018189679777695
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,downstream_arrest,naive,24230,spline,,,,9.702340607556458,-189532.79710513202,-189528.58127891697,-4.215826215047855,,,0,8,,,step,4.1210126052901614,0.020018189679777695
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,downstream_arrest,ctrl,24230,exponential,6.999999999999999,,-0.000866657784399866,9.316536964756285,-190479.95762684854,-190483.7550427927,3.79741594416555,5.0,21.0,1,26,6.999999999999999,49.99999999999999,step,1.645896753150737,0.020018189679777695
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,downstream_arrest,ctrl,24230,gaussian,6.999999999999999,,-0.0009667105572927443,9.316406101876032,-190480.29797110628,-190483.7550427927,3.457071686425479,8.4,17.2,1,26,6.999999999999999,49.99999999999999,step,1.3055524954106659,0.020018189679777695
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,downstream_arrest,ctrl,24230,powerlaw,6.999999999999999,4.0,-0.008419317638627697,9.31647193895611,-190478.1267434036,-190483.7550427927,5.628299389092717,1.4000000000000001,8.0,1,27,6.999999999999999,49.99999999999999,step,3.476780198077904,0.020018189679777695
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,downstream_arrest,ctrl,24230,step,13.48099749887925,,-0.000642816185636011,9.315904132022222,-190481.6035236017,-190483.7550427927,2.1515191910148133,13.600000000000001,13.600000000000001,0,26,8.14292620081837,49.99999999999999,step,0.0,0.020018189679777695
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,downstream_arrest,ctrl,24230,spline,,,,9.31497285273198,-190474.02583547033,-190483.7550427927,9.729207322379807,,,0,31,,,step,7.577688131364994,0.020018189679777695
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,emt_ecm,naive,24230,exponential,6.999999999999999,,0.014900306509795305,17.349811265546236,-175459.97044571582,-175430.28248861333,-29.687957102491055,5.0,21.0,1,3,6.999999999999999,49.99999999999999,powerlaw,2.4450260699668434,0.02677765728999391
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,emt_ecm,naive,24230,gaussian,6.999999999999999,,0.010237851303026553,17.349570439958942,-175460.30677470463,-175430.28248861333,-30.024286091298563,8.4,17.2,1,3,6.999999999999999,49.99999999999999,powerlaw,2.1086970811593346,0.02677765728999391
7435_liver_sham_Male_10-U1,sham,tierA_p95,Endothelial,emt_ecm,naive,24230,powerlaw,6.999999999999999,4.0,0.11383441675285093,17.34662871127881,-175462.4154717858,-175430.28248861333,-32.1329831724579,1.4000000000000001,8.0,1,4,6.999999999999999,49.99999999999999,powerlaw,0.0,0.02677765728999391
