held_out,lam,beta,n_test,ll,ll_per_cell,rss_tr_per_cell,rss_te_per_cell,ll0,ll0_per_cell,dll_vs_cov,celltype,module,basis,design,n_sections
7248_liver_sham_Male_26-U1,24.6860647223019,0.03888055568460956,7108,-10086.463509505436,-1.4190297565426895,0.9984883023896558,1.0001810871928816,-10085.815094268046,-1.4189385332397364,-0.648415237390509,Biliary/ductular,interferon_response,near,naive,6
7352_liver_sham_Male_2-U1,25.962470509255517,0.038487293890791384,3740,-5308.640671815789,-1.4194226395229381,0.9985187282089638,1.0009657638475404,-5306.830114306747,-1.4189385332370983,-1.8105575090412458,Biliary/ductular,interferon_response,near,naive,6
7435_liver_sham_Male_10-U1,27.304873519796445,0.03842183036154717,4232,-6006.207198690026,-1.4192361055505733,0.9985237629516683,1.0005932464573268,-6004.9478726609495,-1.4189385332374644,-1.259326029076874,Biliary/ductular,interferon_response,near,naive,6
7259_liver_sbr_Male_26-U1,18.24260882600192,0.04917049821706658,31826,-45160.38083082143,-1.4189775916175902,0.9975822621050849,1.0000751268400827,-45159.137760002784,-1.4189385332747686,-1.2430708186439006,Biliary/ductular,interferon_response,sup,naive,6
7260_liver_sbr_Male_26-U1,25.962470509255517,0.039754851254023,24875,-35276.75718166763,-1.418161092730357,0.9984195518017706,0.9984463270874665,-35296.09601486524,-1.4189385332609141,19.338833197609347,Biliary/ductular,interferon_response,sup,naive,6
7001_liver_sham_Male_52-U1,12.818224546846722,0.027053562738258048,19766,-28010.36436888158,-1.417098268181806,0.9992681047431671,0.9963217718048859,-28046.73904828261,-1.4189385332531927,36.374679401029425,Biliary/ductular,interferon_response,sup,naive,6
7248_liver_sham_Male_26-U1,19.185852382096297,0.04255257596588038,7108,-10087.772747239493,-1.4192139486831026,0.9981892782786679,1.0005482763902378,-10085.815094268046,-1.4189385332397364,-1.9576529714468052,Biliary/ductular,interferon_response,sup,naive,6
7352_liver_sham_Male_2-U1,20.177866835741543,0.04276401525805356,3740,-5312.694921040658,-1.420506663379855,0.9981712389990087,1.003129020480249,-5306.830114306747,-1.4189385332370983,-5.864806733910882,Biliary/ductular,interferon_response,sup,naive,6
7435_liver_sham_Male_10-U1,22.318425721029357,0.043060831576595175,4232,-6012.143042422274,-1.4206387151281368,0.998145764783932,1.0033925182955623,-6004.9478726609495,-1.4189385332374644,-7.195169761324905,Biliary/ductular,interferon_response,sup,naive,6
7259_liver_sbr_Male_26-U1,40.868941774896264,0.009623293780525548,31826,-43732.0285028636,-1.3740975461215232,0.8670085294779214,0.9130034472002353,-43733.65397759735,-1.3741486199207362,1.6254747337516164,Biliary/ductular,oxidative_stress,near,ctrl,6
7260_liver_sbr_Male_26-U1,49.99999999999999,0.010971081009473875,24875,-34755.45183084325,-1.3972040937022414,0.857281808964641,0.9520694885313222,-34754.79528398819,-1.3971776998588217,-0.656546855061606,Biliary/ductular,oxidative_stress,near,ctrl,6
7001_liver_sham_Male_52-U1,49.99999999999999,0.005450904765912018,19766,-26557.95826291891,-1.3436182466315345,0.8883863212017015,0.8596868926538888,-26560.14885004415,-1.3437290726522386,2.1905871252383804,Biliary/ductular,oxidative_stress,near,ctrl,6
7248_liver_sham_Male_26-U1,49.99999999999999,0.008862832527832884,7108,-9066.207461275308,-1.2754934526273647,0.8944336143961885,0.7375626047225885,-9066.781866454621,-1.2755742637105545,0.5744051793135441,Biliary/ductular,oxidative_stress,near,ctrl,6
7352_liver_sham_Male_2-U1,49.99999999999999,0.009581634811622991,3740,-4852.800112077983,-1.2975401369192467,0.886344705180012,0.7780441461499329,-4852.422670835582,-1.2974392168009576,-0.3774412424008915,Biliary/ductular,oxidative_stress,near,ctrl,6
7435_liver_sham_Male_10-U1,49.99999999999999,0.008464322204438596,4232,-5499.403067449379,-1.2994808760513654,0.8867994144874048,0.781431352458812,-5499.9993262712915,-1.2996217689676965,0.5962588219126701,Biliary/ductular,oxidative_stress,near,ctrl,6
7259_liver_sbr_Male_26-U1,49.99999999999999,0.021529267593345586,31826,-43714.80815935354,-1.373556468276049,0.8666969777917175,0.9120486579668864,-43733.65397759735,-1.3741486199207362,18.845818243811664,Biliary/ductular,oxidative_stress,sup,ctrl,6
7260_liver_sbr_Male_26-U1,49.99999999999999,0.0284975621928895,24875,-34751.80264961111,-1.3970573929491905,0.8567313351339991,0.9517572109501946,-34754.79528398819,-1.3971776998588217,2.9926343770785024,Biliary/ductular,oxidative_stress,sup,ctrl,6
7001_liver_sham_Male_52-U1,49.99999999999999,0.021942565528520728,19766,-26548.0692612772,-1.343117942996924,0.8879985882542543,0.8588105935025205,-26560.14885004415,-1.3437290726522386,12.07958876694829,Biliary/ductular,oxidative_stress,sup,ctrl,6
