held_out,lam,beta,n_test,ll,ll_per_cell,rss_tr_per_cell,rss_te_per_cell,ll0,ll0_per_cell,dll_vs_cov,celltype,module,family,design
7435_liver_sham_Male_10-U1,47.54182525407475,0.005882731950705358,4215,-5980.202522082895,-1.4187906339461198,0.9999653934647961,0.9997042021155069,-5980.825917581062,-1.418938533233941,0.6233954981671559,Biliary/ductular,downstream_arrest,powerlaw,naive
7259_liver_sbr_Male_26-U1,11.58882939190469,-0.0031458026099076917,31135,-44215.05939017406,-1.4201078975485486,0.962284785973318,1.001547479446344,-44214.778662400866,-1.4200988810791992,-0.28072777319175657,Biliary/ductular,downstream_arrest,step,ctrl
7260_liver_sbr_Male_26-U1,47.54182525407475,0.005667380371302119,27611,-38727.47931518471,-1.4026105289625408,0.9800404069070221,0.9677900274583369,-38725.60575131485,-1.402542673257573,-1.873563869863574,Biliary/ductular,downstream_arrest,step,ctrl
7001_liver_sham_Male_52-U1,21.2211739115045,0.0075856654966992305,21822,-30710.472311887952,-1.4073170338139471,0.9740205570686992,0.9770215047541264,-30708.867469332123,-1.4072434914000607,-1.6048425558292365,Biliary/ductular,downstream_arrest,step,ctrl
7248_liver_sham_Male_26-U1,20.177866835741543,0.004753931094257321,7950,-11174.05570762446,-1.4055415984433284,0.9740342861682036,0.9735615803775407,-11173.966501388964,-1.405530377533203,-0.08920623549602169,Biliary/ductular,downstream_arrest,step,ctrl
7352_liver_sham_Male_2-U1,20.177866835741543,0.0037662948972397047,3903,-5496.879977734278,-1.4083730406698125,0.9737545352618214,0.9790777590683717,-5497.11008532688,-1.408431997265406,0.2301075926015983,Biliary/ductular,downstream_arrest,step,ctrl
7435_liver_sham_Male_10-U1,20.177866835741543,0.004532838522811522,4215,-5881.468651876297,-1.3953662282031547,0.9749110501145666,0.9537141062524794,-5881.442356929977,-1.3953599897817264,-0.026294946320376766,Biliary/ductular,downstream_arrest,step,ctrl
7259_liver_sbr_Male_26-U1,22.318425721029357,0.01665446934849814,31135,-44186.537036982045,-1.4191918110480823,0.9997226286507198,1.0005064115611015,-44178.65123314173,-1.4189385332629432,-7.885803840312292,Biliary/ductular,downstream_arrest,step,naive
7260_liver_sbr_Male_26-U1,8.14292620081837,-0.003395793271379861,27611,-39178.89258674124,-1.4189595663591048,0.999988468588058,1.0000420671423096,-39178.31184176303,-1.4189385332571451,-0.5807449782078038,Biliary/ductular,downstream_arrest,step,naive
7001_liver_sham_Male_52-U1,21.2211739115045,0.014695267007592895,21822,-30967.822425139966,-1.419110183536796,0.9997840491275752,1.0003432248279058,-30964.07667256707,-1.4189385332493387,-3.7457525728968903,Biliary/ductular,downstream_arrest,step,naive
7248_liver_sham_Male_26-U1,20.177866835741543,0.010666469478671513,7950,-11280.486835943899,-1.4189291617539495,0.9998862264288606,0.9999812554010193,-11280.561339229844,-1.4189385332364584,0.07450328594495659,Biliary/ductular,downstream_arrest,step,naive
7352_liver_sham_Male_2-U1,21.2211739115045,0.009619905980683265,3903,-5537.212226131754,-1.4187066938590196,0.9999074574089227,0.9995363474075104,-5538.117095211305,-1.4189385332337445,0.904869079551645,Biliary/ductular,downstream_arrest,step,naive
7435_liver_sham_Male_10-U1,20.177866835741543,0.009979083771323739,4215,-5980.30654260137,-1.4188153125981897,0.999900417887085,0.9997535730763125,-5980.825917581062,-1.418938533233941,0.5193749796917473,Biliary/ductular,downstream_arrest,step,naive
7259_liver_sbr_Male_26-U1,,,31135,-44213.96573188284,-1.4200727712183343,,1.0014822291307917,-44214.77866240086,-1.420098881079199,0.8129305180191295,Biliary/ductular,downstream_arrest,spline,ctrl
