section,celltype,module,design,basis,n,beta,se_iid,se_blk,se_ratio,ci_iid_lo,ci_iid_hi,ci_blk_lo,ci_blk_hi
7259_liver_sbr_Male_26-U1,DC,secondary_senescence,ctrl,superposition,2623,-0.0005980790798429408,0.00028051122092070507,0.0003042442992646524,1.084606520430982,-0.0011478810728475226,-4.8277086838358877e-05,-0.0011660564288847462,1.2898805320620034e-05
7259_liver_sbr_Male_26-U1,DC,secondary_senescence,naive,nearest,2623,-0.003514512654569425,0.002717352175208074,0.002473862479675884,0.910394501767683,-0.00884052291797725,0.0018114976088383999,-0.008548596824657969,0.0018867964239401085
7259_liver_sbr_Male_26-U1,DC,secondary_senescence,naive,superposition,2623,-0.0007846062984734929,0.0002232473578651306,0.00023410281481697607,1.0486252426709728,-0.0012221711198891487,-0.0003470414770578369,-0.0012327655486805084,-0.0003183293878814024
7259_liver_sbr_Male_26-U1,DC,tnfa_nfkb_proximal,ctrl,nearest,2623,-0.008053731032748646,0.0036159113098806358,0.003852884818159727,1.065536316566048,-0.015140917200114692,-0.0009665448653825995,-0.016043804154278293,-0.0007192951724513228
7259_liver_sbr_Male_26-U1,DC,tnfa_nfkb_proximal,ctrl,superposition,2623,-0.0019361357377194923,0.0006323051731193279,0.0007647188004448293,1.2094141135557537,-0.0031754538770333747,-0.0006968175984056098,-0.0035370567738894215,-0.0005090201318649637
7259_liver_sbr_Male_26-U1,DC,tnfa_nfkb_proximal,naive,nearest,2623,0.00345273109306469,0.004311182330937133,0.004828608021190093,1.1200194402681378,-0.00499718627557209,0.01190264846170147,-0.005900656399118502,0.012798429449123528
7259_liver_sbr_Male_26-U1,DC,tnfa_nfkb_proximal,naive,superposition,2623,0.0014359616002460386,0.00275916584483075,0.002737346499777142,0.9920920501772351,-0.003972003455622231,0.006843926656114309,-0.0034432261276001884,0.00690906588964717
7259_liver_sbr_Male_26-U1,Endothelial,downstream_arrest,ctrl,nearest,12292,0.0015041924385893718,0.0013020545820477312,0.0012166854616903937,0.9344350678271274,-0.0010478345422241812,0.0040562194194029245,-0.0007632826506288653,0.003908397279955644
7259_liver_sbr_Male_26-U1,Endothelial,downstream_arrest,ctrl,superposition,12292,-0.00011039707169865268,9.101576511751503e-05,0.00010415344037932149,1.144345051045209,-0.00028878797132898213,6.799382793167679e-05,-0.00031952584895685845,0.00012385395962461997
7259_liver_sbr_Male_26-U1,Endothelial,downstream_arrest,naive,nearest,12292,-0.003405202653833959,0.0008024813806838311,0.0009002719445298346,1.121860227788303,-0.004978066159974268,-0.0018323391476936502,-0.0052929874937773114,-0.0016836156667892953
