section,arm,caller,cell_type,bg_pct,call_pct,enrichment,n_called
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,Kupffer cells,11.517,0.872,0.076,50
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,LSECs,11.3,2.789,0.247,160
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,T/NK cells,5.498,0.75,0.136,43
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,DC,2.412,0.105,0.043,6
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,B-cells,0.673,0.105,0.155,6
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,Proliferating,0.588,1.29,2.196,74
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Biliary/ductular,28.595,10.611,0.371,556
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Hepatocytes,26.24,55.363,2.11,2901
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Hepatic stellate cells,13.179,6.66,0.505,349
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Kupffer cells,11.517,7.385,0.641,387
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,LSECs,11.3,13.607,1.204,713
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,T/NK cells,5.498,2.443,0.444,128
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,DC,2.412,1.164,0.483,61
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,B-cells,0.673,0.286,0.425,15
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Proliferating,0.588,2.481,4.223,130
7260_liver_sbr_Male_26-U1,SBR,tierA_score,Hepatocytes,31.03,12.878,0.415,1163
7260_liver_sbr_Male_26-U1,SBR,tierA_score,Hepatic stellate cells,16.911,13.498,0.798,1219
7260_liver_sbr_Male_26-U1,SBR,tierA_score,Biliary/ductular,16.119,20.673,1.283,1867
7260_liver_sbr_Male_26-U1,SBR,tierA_score,LSECs,12.065,10.065,0.834,909
7260_liver_sbr_Male_26-U1,SBR,tierA_score,Inflammatory macs,8.074,11.804,1.462,1066
7260_liver_sbr_Male_26-U1,SBR,tierA_score,DC,3.209,5.957,1.856,538
7260_liver_sbr_Male_26-U1,SBR,tierA_score,T/NK cells,3.129,9.478,3.029,856
7260_liver_sbr_Male_26-U1,SBR,tierA_score,vSMCs,2.913,3.964,1.361,358
7260_liver_sbr_Male_26-U1,SBR,tierA_score,Kupffer cells,2.501,2.082,0.832,188
7260_liver_sbr_Male_26-U1,SBR,tierA_score,Proliferating,1.97,5.514,2.799,498
7260_liver_sbr_Male_26-U1,SBR,tierA_score,B-cells,1.063,3.167,2.98,286
7260_liver_sbr_Male_26-U1,SBR,tierA_score,Central venous LSECs,1.015,0.919,0.906,83
7260_liver_sbr_Male_26-U1,SBR,senepy_score,Hepatocytes,31.03,50.874,1.64,2706
7260_liver_sbr_Male_26-U1,SBR,senepy_score,Hepatic stellate cells,16.911,0.0,0.0,0
7260_liver_sbr_Male_26-U1,SBR,senepy_score,Biliary/ductular,16.119,0.0,0.0,0
7260_liver_sbr_Male_26-U1,SBR,senepy_score,LSECs,12.065,5.979,0.496,318
7260_liver_sbr_Male_26-U1,SBR,senepy_score,Inflammatory macs,8.074,0.0,0.0,0
7260_liver_sbr_Male_26-U1,SBR,senepy_score,DC,3.209,0.0,0.0,0
7260_liver_sbr_Male_26-U1,SBR,senepy_score,T/NK cells,3.129,0.019,0.006,1
7260_liver_sbr_Male_26-U1,SBR,senepy_score,vSMCs,2.913,0.0,0.0,0
7260_liver_sbr_Male_26-U1,SBR,senepy_score,Kupffer cells,2.501,40.647,16.251,2162
7260_liver_sbr_Male_26-U1,SBR,senepy_score,Proliferating,1.97,0.0,0.0,0
7260_liver_sbr_Male_26-U1,SBR,senepy_score,B-cells,1.063,0.94,0.885,50
7260_liver_sbr_Male_26-U1,SBR,senepy_score,Central venous LSECs,1.015,1.542,1.52,82
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,Hepatocytes,31.03,58.357,1.881,5272
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,Hepatic stellate cells,16.911,3.221,0.19,291
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,Biliary/ductular,16.119,33.042,2.05,2985
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,LSECs,12.065,1.085,0.09,98
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,Inflammatory macs,8.074,0.465,0.058,42
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,DC,3.209,0.277,0.086,25
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,T/NK cells,3.129,0.299,0.096,27
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,vSMCs,2.913,0.786,0.27,71
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,Kupffer cells,2.501,0.144,0.058,13
