section,arm,caller,stratum_kind,stratum,bg_pct,call_pct,enrichment
7448_liver_sbr_Male_10-U1,SBR,senepy_score,depth_quintile,Q5_high,19.99,77.14,3.859
7448_liver_sbr_Male_10-U1,SBR,senepy_score,zonation_hepatocyte,periportal,33.33,24.59,0.738
7448_liver_sbr_Male_10-U1,SBR,senepy_score,zonation_hepatocyte,midzonal,33.33,35.54,1.066
7448_liver_sbr_Male_10-U1,SBR,senepy_score,zonation_hepatocyte,pericentral,33.33,39.87,1.196
7448_liver_sbr_Male_10-U1,SBR,deepscence_score,depth_quintile,Q1_low,20.01,17.84,0.892
7448_liver_sbr_Male_10-U1,SBR,deepscence_score,depth_quintile,Q2,20.04,17.78,0.887
7448_liver_sbr_Male_10-U1,SBR,deepscence_score,depth_quintile,Q3,19.98,14.01,0.701
7448_liver_sbr_Male_10-U1,SBR,deepscence_score,depth_quintile,Q4,19.98,12.26,0.614
7448_liver_sbr_Male_10-U1,SBR,deepscence_score,depth_quintile,Q5_high,19.99,38.11,1.906
7448_liver_sbr_Male_10-U1,SBR,deepscence_score,zonation_hepatocyte,periportal,33.33,34.69,1.041
7448_liver_sbr_Male_10-U1,SBR,deepscence_score,zonation_hepatocyte,midzonal,33.33,36.57,1.097
7448_liver_sbr_Male_10-U1,SBR,deepscence_score,zonation_hepatocyte,pericentral,33.33,28.74,0.862
7448_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,depth_quintile,Q1_low,20.01,0.72,0.036
7448_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,depth_quintile,Q2,20.04,1.8,0.09
7448_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,depth_quintile,Q3,19.98,3.64,0.182
7448_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,depth_quintile,Q4,19.98,12.67,0.634
7448_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,depth_quintile,Q5_high,19.99,81.17,4.061
7448_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,zonation_hepatocyte,periportal,33.33,34.25,1.028
7448_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,zonation_hepatocyte,midzonal,33.33,35.04,1.051
7448_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,zonation_hepatocyte,pericentral,33.33,30.71,0.921
7450_liver_sbr_Male_10-U1,SBR,tierA_score,depth_quintile,Q1_low,20.04,44.72,2.231
7450_liver_sbr_Male_10-U1,SBR,tierA_score,depth_quintile,Q2,20.0,27.06,1.353
7450_liver_sbr_Male_10-U1,SBR,tierA_score,depth_quintile,Q3,19.98,16.06,0.804
7450_liver_sbr_Male_10-U1,SBR,tierA_score,depth_quintile,Q4,19.98,8.03,0.402
7450_liver_sbr_Male_10-U1,SBR,tierA_score,depth_quintile,Q5_high,19.99,4.13,0.206
7450_liver_sbr_Male_10-U1,SBR,tierA_score,zonation_hepatocyte,periportal,33.33,22.6,0.678
7450_liver_sbr_Male_10-U1,SBR,tierA_score,zonation_hepatocyte,midzonal,33.33,35.97,1.079
7450_liver_sbr_Male_10-U1,SBR,tierA_score,zonation_hepatocyte,pericentral,33.33,41.43,1.243
7450_liver_sbr_Male_10-U1,SBR,senepy_score,depth_quintile,Q1_low,20.04,3.78,0.188
7450_liver_sbr_Male_10-U1,SBR,senepy_score,depth_quintile,Q2,20.0,12.75,0.637
7450_liver_sbr_Male_10-U1,SBR,senepy_score,depth_quintile,Q3,19.98,27.76,1.389
7450_liver_sbr_Male_10-U1,SBR,senepy_score,depth_quintile,Q4,19.98,34.06,1.705
7450_liver_sbr_Male_10-U1,SBR,senepy_score,depth_quintile,Q5_high,19.99,21.65,1.083
7450_liver_sbr_Male_10-U1,SBR,senepy_score,zonation_hepatocyte,periportal,33.33,20.32,0.61
7450_liver_sbr_Male_10-U1,SBR,senepy_score,zonation_hepatocyte,midzonal,33.33,45.81,1.374
7450_liver_sbr_Male_10-U1,SBR,senepy_score,zonation_hepatocyte,pericentral,33.33,33.87,1.016
7450_liver_sbr_Male_10-U1,SBR,deepscence_score,depth_quintile,Q1_low,20.04,4.62,0.23
7450_liver_sbr_Male_10-U1,SBR,deepscence_score,depth_quintile,Q2,20.0,7.69,0.384
7450_liver_sbr_Male_10-U1,SBR,deepscence_score,depth_quintile,Q3,19.98,15.37,0.769
7450_liver_sbr_Male_10-U1,SBR,deepscence_score,depth_quintile,Q4,19.98,33.55,1.679
7450_liver_sbr_Male_10-U1,SBR,deepscence_score,depth_quintile,Q5_high,19.99,38.78,1.94
7450_liver_sbr_Male_10-U1,SBR,deepscence_score,zonation_hepatocyte,periportal,33.33,34.07,1.022
7450_liver_sbr_Male_10-U1,SBR,deepscence_score,zonation_hepatocyte,midzonal,33.33,32.26,0.968
7450_liver_sbr_Male_10-U1,SBR,deepscence_score,zonation_hepatocyte,pericentral,33.33,33.67,1.01
7450_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,depth_quintile,Q1_low,20.04,1.04,0.052
7450_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,depth_quintile,Q2,20.0,3.2,0.16
7450_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,depth_quintile,Q3,19.98,6.33,0.317
7450_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,depth_quintile,Q4,19.98,21.19,1.06
7450_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,depth_quintile,Q5_high,19.99,68.24,3.413
7450_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,zonation_hepatocyte,periportal,33.33,29.4,0.882
7450_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,zonation_hepatocyte,midzonal,33.33,32.55,0.977
7450_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,zonation_hepatocyte,pericentral,33.33,38.04,1.141
