section,arm,caller,within_type_depth_quintile,bg_pct,enrichment
7352_liver_sham_Male_2-U1,sham,senepy_score,Q3,19.99,0.723
7352_liver_sham_Male_2-U1,sham,senepy_score,Q4,20.01,1.295
7352_liver_sham_Male_2-U1,sham,senepy_score,Q5,19.97,2.523
7352_liver_sham_Male_2-U1,sham,deepscence_score,Q1,20.07,1.539
7352_liver_sham_Male_2-U1,sham,deepscence_score,Q2,19.97,1.078
7352_liver_sham_Male_2-U1,sham,deepscence_score,Q3,19.99,0.924
7352_liver_sham_Male_2-U1,sham,deepscence_score,Q4,20.01,0.772
7352_liver_sham_Male_2-U1,sham,deepscence_score,Q5,19.97,0.686
7352_liver_sham_Male_2-U1,sham,cdkn1a_counts,Q1,20.07,0.339
7352_liver_sham_Male_2-U1,sham,cdkn1a_counts,Q2,19.97,0.598
7352_liver_sham_Male_2-U1,sham,cdkn1a_counts,Q3,19.99,0.842
7352_liver_sham_Male_2-U1,sham,cdkn1a_counts,Q4,20.01,1.156
7352_liver_sham_Male_2-U1,sham,cdkn1a_counts,Q5,19.97,2.069
7361_liver_sbr_Male_2-U1,SBR,tierA_score,Q1,20.04,1.47
7361_liver_sbr_Male_2-U1,SBR,tierA_score,Q2,20.0,1.279
7361_liver_sbr_Male_2-U1,SBR,tierA_score,Q3,20.0,1.017
7361_liver_sbr_Male_2-U1,SBR,tierA_score,Q4,19.98,0.804
7361_liver_sbr_Male_2-U1,SBR,tierA_score,Q5,19.98,0.428
7361_liver_sbr_Male_2-U1,SBR,senepy_score,Q1,20.04,0.069
7361_liver_sbr_Male_2-U1,SBR,senepy_score,Q2,20.0,0.283
7361_liver_sbr_Male_2-U1,SBR,senepy_score,Q3,20.0,0.614
7361_liver_sbr_Male_2-U1,SBR,senepy_score,Q4,19.98,1.157
7361_liver_sbr_Male_2-U1,SBR,senepy_score,Q5,19.98,2.88
7361_liver_sbr_Male_2-U1,SBR,deepscence_score,Q1,20.04,1.266
7361_liver_sbr_Male_2-U1,SBR,deepscence_score,Q2,20.0,1.055
7361_liver_sbr_Male_2-U1,SBR,deepscence_score,Q3,20.0,0.955
7361_liver_sbr_Male_2-U1,SBR,deepscence_score,Q4,19.98,0.846
7361_liver_sbr_Male_2-U1,SBR,deepscence_score,Q5,19.98,0.878
7361_liver_sbr_Male_2-U1,SBR,cdkn1a_counts,Q1,20.04,0.125
7361_liver_sbr_Male_2-U1,SBR,cdkn1a_counts,Q2,20.0,0.356
7361_liver_sbr_Male_2-U1,SBR,cdkn1a_counts,Q3,20.0,0.637
7361_liver_sbr_Male_2-U1,SBR,cdkn1a_counts,Q4,19.98,1.057
7361_liver_sbr_Male_2-U1,SBR,cdkn1a_counts,Q5,19.98,2.828
7435_liver_sham_Male_10-U1,sham,tierA_score,Q1,20.06,1.701
7435_liver_sham_Male_10-U1,sham,tierA_score,Q2,20.01,1.179
7435_liver_sham_Male_10-U1,sham,tierA_score,Q3,19.98,0.974
7435_liver_sham_Male_10-U1,sham,tierA_score,Q4,19.96,0.726
7435_liver_sham_Male_10-U1,sham,tierA_score,Q5,20.0,0.417
7435_liver_sham_Male_10-U1,sham,senepy_score,Q1,20.06,0.216
7435_liver_sham_Male_10-U1,sham,senepy_score,Q2,20.01,0.535
7435_liver_sham_Male_10-U1,sham,senepy_score,Q3,19.98,0.797
7435_liver_sham_Male_10-U1,sham,senepy_score,Q4,19.96,1.169
7435_liver_sham_Male_10-U1,sham,senepy_score,Q5,20.0,2.286
7435_liver_sham_Male_10-U1,sham,deepscence_score,Q1,20.06,1.731
7435_liver_sham_Male_10-U1,sham,deepscence_score,Q2,20.01,1.173
