section,arm,week,band,call,n_cells,area_um2,median_depth,median_nn_um,n_senders,sender_prevalence,sender_density_per_um2,median_d_um,iqr_d_um,p90_d_um,poisson_median_pred_um,obs_over_poisson
7361_liver_sbr_Male_2-U1,sbr,2,over_ceiling,cdkn1a_pos,193983,31231250.0,789.0,8.773145145970076,31025,0.15993669548362485,0.0009933960376225736,15.823494553215692,10.47889701243422,29.464490846635304,14.903098864128518,1.061758678344579
7361_liver_sbr_Male_2-U1,sbr,2,over_ceiling,senepy_p90,193983,31231250.0,789.0,8.773145145970076,13640,0.07031544001278463,0.00043674204522713627,23.838893750817306,18.85808110010087,46.759185754748934,22.476324440549767,1.0606224257828079
7361_liver_sbr_Male_2-U1,sbr,2,over_ceiling,senepy_p95,193983,31231250.0,789.0,8.773145145970076,6821,0.03516287509730234,0.00021840304182509505,33.7679758945655,27.804246121946615,66.30112143095063,31.783992736789052,1.0624208284404761
7361_liver_sbr_Male_2-U1,sbr,2,over_ceiling,senepy_p99,193983,31231250.0,789.0,8.773145145970076,1367,0.0070470092740085475,4.377026215729438e-05,75.54629184305072,62.44665420973601,146.76805046540412,70.99834418702193,1.064057094684472
7450_liver_sbr_Male_10-U1,sbr,10,over_ceiling,tierA_p90,93197,20956250.0,750.0,9.711399856080899,7778,0.08345762202646008,0.00037115419027736353,24.307623586416774,19.4947832192096,46.27114830648308,24.381510630912153,0.9969695460788348
7450_liver_sbr_Male_10-U1,sbr,10,over_ceiling,tierA_p95,93197,20956250.0,750.0,9.711399856080899,3891,0.04175027093146775,0.00018567253206084103,34.7532254377793,28.75243823366088,67.14604684049698,34.47180022075697,1.0081639257369817
7450_liver_sbr_Male_10-U1,sbr,10,over_ceiling,tierA_p99,93197,20956250.0,750.0,9.711399856080899,783,0.008401557990064057,3.7363555025350435e-05,78.17682383175696,64.23461036996797,150.0541090722079,76.8446609089782,1.0173357902425608
7450_liver_sbr_Male_10-U1,sbr,10,over_ceiling,cdkn1a_pos,93197,20956250.0,750.0,9.711399856080899,10279,0.11029324978271833,0.0004904980614375186,21.991420265136405,15.24156900864944,40.857768789658095,21.208948939036283,1.036893451360993
7450_liver_sbr_Male_10-U1,sbr,10,over_ceiling,senepy_p90,93197,20956250.0,750.0,9.711399856080899,5930,0.06362865757481465,0.00028297047420220697,31.582009952625768,29.344949798061812,70.29261539996428,27.923331543149267,1.1310258557014528
7450_liver_sbr_Male_10-U1,sbr,10,over_ceiling,senepy_p95,93197,20956250.0,750.0,9.711399856080899,2966,0.03182505874652618,0.00014153295556218313,45.222952711513884,43.66938740535539,100.11273565894103,39.48289657495277,1.1453808264969725
7450_liver_sbr_Male_10-U1,sbr,10,over_ceiling,senepy_p99,93197,20956250.0,750.0,9.711399856080899,596,0.006395055634838031,2.844020280345959e-05,103.26988791591015,104.5618570935913,232.1820422962592,88.07881228758491,1.1724713950356762
7250_liver_sham_Male_26-U1,sham,26,below_floor,tierA_p90,236905,46393750.0,513.0,9.672114515843884,21776,0.09191870158924463,0.00046937356863801697,21.87139325653067,16.61563986024561,40.69853403337526,21.68095855233939,1.008783500218939
7250_liver_sham_Male_26-U1,sham,26,below_floor,tierA_p95,236905,46393750.0,513.0,9.672114515843884,10890,0.04596779299719297,0.00023472989357402668,30.979744219361287,24.574012023856774,58.33658164293679,30.658689935427194,1.0104718852831054
7250_liver_sham_Male_26-U1,sham,26,below_floor,tierA_p99,236905,46393750.0,513.0,9.672114515843884,2182,0.009210443004579894,4.703219722484171e-05,70.84750191454617,58.52144228048144,135.18176288512953,68.492049203659,1.0343901626287062
7250_liver_sham_Male_26-U1,sham,26,below_floor,cdkn1a_pos,236905,46393750.0,513.0,9.672114515843884,1496,0.006314767522846711,3.2245722753603664e-05,84.78199308374157,68.67848287286154,160.27326001140267,82.71832590320396,1.024948125557479
7250_liver_sham_Male_26-U1,sham,26,below_floor,senepy_p90,236905,46393750.0,513.0,9.672114515843884,18309,0.07728414343302167,0.0003946436750639903,25.38853461523447,20.292124984486527,50.92543113647179,23.64477691062694,1.0737481140633562
7250_liver_sham_Male_26-U1,sham,26,below_floor,senepy_p95,236905,46393750.0,513.0,9.672114515843884,9155,0.0386441822671535,0.00019733261484574969,36.088689735833384,30.25952317493356,72.98800373234351,33.43785104536739,1.0792765864908431
7250_liver_sham_Male_26-U1,sham,26,below_floor,senepy_p99,236905,46393750.0,513.0,9.672114515843884,1833,0.007737278656001351,3.950963222416812e-05,81.06462826790052,71.8488520229134,168.406934010919,74.72850615075367,1.084788555847278
