held_out,lam,beta,n_test,ll,ll_per_cell,rss_tr_per_cell,rss_te_per_cell,ll0,ll0_per_cell,dll_vs_cov,celltype,module,family,design
7001_liver_sham_Male_52-U1,49.99999999999999,-0.005101948320097462,21796,-30666.58095297862,-1.406982058771271,0.9737612972776813,0.9763681472634386,-30664.894103477935,-1.406904666153328,-1.6868495006856392,Biliary/ductular,downstream_arrest,step,ctrl
7248_liver_sham_Male_26-U1,18.24260882600192,0.004549700217180486,7958,-11183.086418433353,-1.4052634353397027,0.9737102384540086,0.9730199119611312,-11182.747308969056,-1.4052208229415752,-0.33910946429750766,Biliary/ductular,downstream_arrest,step,ctrl
7352_liver_sham_Male_2-U1,47.54182525407475,0.0037398492282420632,3895,-5489.637272876227,-1.4094062318039093,0.9733067872461472,0.9810872013101078,-5489.651750963246,-1.4094099488994212,0.014478087018687802,Biliary/ductular,downstream_arrest,step,ctrl
7435_liver_sham_Male_10-U1,17.345738419684505,0.003738453827823351,4208,-5869.741651437051,-1.394900582565839,0.9745815711908509,0.9528134138984744,-5869.751493283198,-1.394902921407604,0.00984184614753758,Biliary/ductular,downstream_arrest,step,ctrl
7259_liver_sbr_Male_26-U1,21.2211739115045,0.018155540156537378,31155,-44217.234610659056,-1.4192660764133864,0.9996703763616247,1.000654860209037,-44207.030003808155,-1.4189385332629805,-10.204606850900745,Biliary/ductular,downstream_arrest,step,naive
7260_liver_sbr_Male_26-U1,47.54182525407475,0.004779125824940301,27623,-39194.19699607751,-1.418897186984669,0.9999771599563491,0.9999173056410899,-39195.339104162675,-1.4189385332571651,1.1421080851650913,Biliary/ductular,downstream_arrest,step,naive
7001_liver_sham_Male_52-U1,31.763081427768892,0.011036833727805933,21796,-30927.615189128475,-1.4189583037772286,0.9998781883012647,1.0000395345735573,-30927.18427070194,-1.418938533249309,-0.4309184265366639,Biliary/ductular,downstream_arrest,step,naive
7248_liver_sham_Male_26-U1,28.716686174618605,0.010689623685393109,7958,-11292.333685346657,-1.4189914156002335,0.9998857319454646,1.0001057530479935,-11291.912847495787,-1.4189385332364648,-0.4208378508701571,Biliary/ductular,downstream_arrest,step,naive
7352_liver_sham_Male_2-U1,31.763081427768892,0.009094766166416102,3895,-5526.346598889522,-1.4188309624876823,0.9999172852283782,0.9997848681337571,-5526.765586945417,-1.41893853323374,0.41898805589516996,Biliary/ductular,downstream_arrest,step,naive
7435_liver_sham_Male_10-U1,21.2211739115045,0.009325601926874339,4208,-5970.630238130068,-1.4188760071601874,0.9999130331487015,0.9998749532419619,-5970.893347848409,-1.4189385332339375,0.2631097183402744,Biliary/ductular,downstream_arrest,step,naive
7259_liver_sbr_Male_26-U1,,,31155,-44246.30423303424,-1.4201991408452654,,1.0016999339383892,-44245.962186691184,-1.420188161986557,-0.34204634305933723,Biliary/ductular,downstream_arrest,spline,ctrl
7260_liver_sbr_Male_26-U1,,,27623,-38737.53686614884,-1.402365306670124,,0.9673116359291649,-38733.008415658434,-1.4022013689917254,-4.5284504904047935,Biliary/ductular,downstream_arrest,spline,ctrl
7001_liver_sham_Male_52-U1,,,21796,-30665.04958840533,-1.4069117997983727,,0.9762313608308586,-30664.89410347794,-1.406904666153328,-0.1554849273925356,Biliary/ductular,downstream_arrest,spline,ctrl
7248_liver_sham_Male_26-U1,,,7958,-11182.794485340797,-1.405226751110932,,0.9729484089621375,-11182.747308969057,-1.4052208229415755,-0.0471763717396243,Biliary/ductular,downstream_arrest,spline,ctrl
7352_liver_sham_Male_2-U1,,,3895,-5489.628702201572,-1.4094040313739595,,0.9810831160267489,-5489.651750963245,-1.409409948899421,0.02304876167272596,Biliary/ductular,downstream_arrest,spline,ctrl
7435_liver_sham_Male_10-U1,,,4208,-5869.381263538809,-1.3948149390538995,,0.9526456604854516,-5869.751493283197,-1.3949029214076039,0.3702297443878706,Biliary/ductular,downstream_arrest,spline,ctrl
7259_liver_sbr_Male_26-U1,,,31155,-44218.032350947105,-1.4192916819434154,,1.0007060698226635,-44207.03000380815,-1.4189385332629803,-11.002347138957703,Biliary/ductular,downstream_arrest,spline,naive
7260_liver_sbr_Male_26-U1,,,27623,-39195.09827173476,-1.4189298147100156,,0.9999825626008214,-39195.339104162675,-1.4189385332571651,0.2408324279167573,Biliary/ductular,downstream_arrest,spline,naive
7001_liver_sham_Male_52-U1,,,21796,-30932.28664534942,-1.419172630085769,,1.000468100897993,-30927.18427070194,-1.418938533249309,-5.1023746474820655,Biliary/ductular,downstream_arrest,spline,naive
7248_liver_sham_Male_26-U1,,,7958,-11292.592820358732,-1.4190239784316074,,1.0001708587285871,-11291.912847495787,-1.4189385332364648,-0.6799728629448509,Biliary/ductular,downstream_arrest,spline,naive
7352_liver_sham_Male_2-U1,,,3895,-5526.29287874565,-1.4188171704096664,,0.9997572946501844,-5526.765586945417,-1.41893853323374,0.4727081997671121,Biliary/ductular,downstream_arrest,spline,naive
