held_out,lam,beta,n_test,ll,ll_per_cell,rss_tr_per_cell,rss_te_per_cell,ll0,ll0_per_cell,dll_vs_cov,celltype,module,basis,design,n_sections
7248_liver_sham_Male_26-U1,49.99999999999999,0.005797525210547648,7958,-11292.722713805028,-1.419040300804854,0.9999663887014332,1.0002035352449843,-11291.912847495787,-1.4189385332364648,-0.8098663092405332,Biliary/ductular,interferon_response,near,naive,6
7352_liver_sham_Male_2-U1,27.304873519796445,0.0032253254970549474,3895,-5526.488728229471,-1.4188674526904932,0.9999895972754382,0.9998578356108834,-5526.765586945418,-1.4189385332337403,0.2768587159471281,Biliary/ductular,interferon_response,near,naive,6
7435_liver_sham_Male_10-U1,25.962470509255517,0.0054925073140868926,4208,-5971.605718195815,-1.4191078227651652,0.999969832363405,1.0003385798938726,-5970.893347848409,-1.4189385332339375,-0.7123703474062495,Biliary/ductular,interferon_response,near,naive,6
7259_liver_sbr_Male_26-U1,36.94920399670096,0.004082453292110552,31155,-44206.03619493764,-1.4189066344066006,0.9999833335751179,0.9999362001192589,-44207.030003808155,-1.4189385332629805,0.9938088705166592,Biliary/ductular,interferon_response,sup,naive,6
7260_liver_sbr_Male_26-U1,20.177866835741543,0.00917804565794109,27623,-39196.84115346501,-1.4189929100193681,0.9999157634779008,1.0001087483647582,-39195.339104162675,-1.4189385332571651,-1.5020493023330346,Biliary/ductular,interferon_response,sup,naive,6
7001_liver_sham_Male_52-U1,36.94920399670096,0.006830624557644761,21796,-30927.26132878424,-1.418942068672428,0.9999533425681525,1.0000070708674498,-30927.18427070194,-1.418938533249309,-0.0770580823009368,Biliary/ductular,interferon_response,sup,naive,6
7248_liver_sham_Male_26-U1,24.6860647223019,0.007963633848232635,7958,-11292.86257387102,-1.419057875580676,0.9999365805359315,1.0002386772515846,-11291.912847495787,-1.4189385332364648,-0.9497263752327854,Biliary/ductular,interferon_response,sup,naive,6
7352_liver_sham_Male_2-U1,25.962470509255517,0.005040158291860775,3895,-5526.046488375742,-1.4187539122915898,0.9999745968043932,0.9996307555851337,-5526.765586945418,-1.4189385332337403,0.7190985696761345,Biliary/ductular,interferon_response,sup,naive,6
7435_liver_sham_Male_10-U1,21.2211739115045,0.006713446337758407,4208,-5971.096280722963,-1.4189867587269398,0.9999549296382703,1.000096449748483,-5970.893347848409,-1.4189385332339375,-0.20293287455388054,Biliary/ductular,interferon_response,sup,naive,6
7259_liver_sbr_Male_26-U1,49.99999999999999,-0.008037771558262335,31155,-42798.22962565121,-1.373719455164539,0.8668496522270903,0.9123373404466026,-42796.6785039792,-1.3736696679178046,-1.5511216720115044,Biliary/ductular,oxidative_stress,near,ctrl,6
7260_liver_sbr_Male_26-U1,6.999999999999999,-0.005011362306105745,27623,-38584.870505485094,-1.3968385224445243,0.8539372171379259,0.9510685552265971,-38585.62019998366,-1.3968656626718192,0.7496944985687151,Biliary/ductular,oxidative_stress,near,ctrl,6
7001_liver_sham_Male_52-U1,7.361938632551805,-0.00665895761326888,21796,-29279.303146669394,-1.3433337835689756,0.8870252845744367,0.8592259767445578,-29279.114061363754,-1.343325108339317,-0.1890853056393098,Biliary/ductular,oxidative_stress,near,ctrl,6
7248_liver_sham_Male_26-U1,7.361938632551805,-0.005095599858272504,7958,-10148.804882046974,-1.2752959138033393,0.8937766690418948,0.7373271491608184,-10149.162057961003,-1.2753407964263637,0.35717591402863036,Biliary/ductular,oxidative_stress,near,ctrl,6
7352_liver_sham_Male_2-U1,6.999999999999999,-0.00394004102665346,3895,-5045.52335104217,-1.2953846857617897,0.8849600269083511,0.774398423300866,-5046.219309086205,-1.2955633656190513,0.6959580440343416,Biliary/ductular,oxidative_stress,near,ctrl,6
7435_liver_sham_Male_10-U1,11.019082036984365,-0.005992521351251743,4208,-5457.383207573218,-1.2969066557921145,0.8852191030266979,0.7770612187957557,-5457.198235365366,-1.2968626985183853,-0.1849722078522973,Biliary/ductular,oxidative_stress,near,ctrl,6
7259_liver_sbr_Male_26-U1,6.999999999999999,-0.005641820334231167,31155,-42796.81124006772,-1.3736739284245778,0.8668786671585794,0.9122598823625212,-42796.6785039792,-1.3736696679178046,-0.1327360885188682,Biliary/ductular,oxidative_stress,sup,ctrl,6
7260_liver_sbr_Male_26-U1,6.999999999999999,-0.00522401026842285,27623,-38585.47277909078,-1.3968603257825283,0.8539356853056118,0.9511056345815564,-38585.62019998366,-1.3968656626718192,0.1474208928848384,Biliary/ductular,oxidative_stress,sup,ctrl,6
7001_liver_sham_Male_52-U1,49.99999999999999,-0.008445869942832732,21796,-29279.76420359352,-1.3433549368505011,0.887020543310394,0.8592636684984508,-29279.114061363754,-1.343325108339317,-0.6501422297660611,Biliary/ductular,oxidative_stress,sup,ctrl,6
7248_liver_sham_Male_26-U1,49.99999999999999,-0.007930595338582236,7958,-10150.007978712852,-1.2754470945856813,0.8937591085620326,0.7376005553827224,-10149.162057961003,-1.2753407964263637,-0.845920751849917,Biliary/ductular,oxidative_stress,sup,ctrl,6
7352_liver_sham_Male_2-U1,45.204502969779604,-0.004689297867123937,3895,-5045.608334208524,-1.2954065042897365,0.8849598096083036,0.7744370796370625,-5046.219309086205,-1.2955633656190513,0.6109748776807464,Biliary/ductular,oxidative_stress,sup,ctrl,6
