section,arm,band,n_cells,weights,mean_neighbours,islands,centring,field,kind,moran_I,E_I,z_rand,p_rand,z_norm,p_norm,p_sim,mean,sd,frac_nonzero
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,raw,cell_area,technical,0.0868885373708721,-6.025548324897566e-06,126.9622853173161,0.0,126.96159528856579,0.0,,148.21898707243906,106.21033722536785,1.0
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,raw,density_50um,technical,0.8571479717200778,-6.025548324897566e-06,1252.4015032920772,0.0,1252.3872063475826,0.0,,29.229746747729887,11.328645900206258,0.9998071836154278
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,raw,unassigned_codeword,technical,0.24040330705045654,-6.025548324897566e-06,351.28907244093256,0.0,351.2619358864112,0.0,,0.5156211399063635,1.0456346228677673,0.3144533956772977
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,ctcentred,neg_control_probe,control,0.006436111483941072,-6.025548324897566e-06,9.416703610400923,4.6547182720653854e-21,9.41260266703454,4.840009202094091e-21,,5.3517297419280745e-19,0.08818203120372711,0.007501762462265231
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,ctcentred,neg_control_codeword,control,0.04445909538104708,-6.025548324897566e-06,64.974547857368,0.0,64.96796230095165,0.0,,0.0,0.226740574020212,0.04340778857683432
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,ctcentred,genomic_control,control,0.0006403924746216761,-6.025548324897566e-06,0.9448919183963427,0.34471405785647224,0.9444809969628896,0.34492390815905494,,-3.425107034833968e-19,0.10510014071349162,0.00960466615650665
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,ctcentred,all_controls,control,0.0455188059938917,-6.025548324897566e-06,66.52153514575228,0.0,66.51630486038299,0.0,,6.850214069667936e-19,0.26904041938960066,0.05871861461427685
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,ctcentred,neg_probe_rate,control,0.0009553144635149933,-6.025548324897566e-06,1.4105465716452001,0.15837835504763265,1.404613331577699,0.16013629013801034,,8.780181607850748e-22,9.616934813218398e-05,0.007501762462265231
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,ctcentred,downstream_arrest,module,0.024547304127032377,-6.025548324897566e-06,35.875191784737225,7.446101272784675e-282,35.87485569296481,7.536495080714621e-282,,7.706490828376428e-19,0.02184396975858788,0.6771530660817903
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,ctcentred,emt_ecm,module,0.1032809793412354,-6.025548324897566e-06,150.9139881343673,0.0,150.91258270728238,0.0,,1.284415138062738e-18,0.04083121798436215,0.7672947258693308
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,ctcentred,il6_jak_stat3,module,0.07295336106235402,-6.025548324897566e-06,106.60176889464002,0.0,106.60091729767599,0.0,,-8.56276758708492e-20,0.03743208805349627,0.3838793451473539
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,ctcentred,interferon_response,module,0.09184961798703765,-6.025548324897566e-06,134.21225493201734,0.0,134.21022728835237,0.0,,1.712553517416984e-19,0.03200126165884995,0.5081977091003308
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,ctcentred,oxidative_stress,module,0.057882720655392614,-6.025548324897566e-06,84.58129110225055,0.0,84.5812133736526,0.0,,-2.3975749243837777e-18,0.06303021280268217,0.9224094817457114
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,ctcentred,secondary_senescence,module,0.06469522849712443,-6.025548324897566e-06,94.53525764832472,0.0,94.53496461475648,0.0,,-1.712553517416984e-19,0.027056017218698884,0.7813160923349461
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,ctcentred,tnfa_nfkb_proximal,module,0.13523885592228635,-6.025548324897566e-06,197.61030667340742,0.0,197.6062175730025,0.0,,-2.354761086448353e-19,0.030103877768870028,0.37218985183265946
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,ctcentred,transcript_counts,technical,0.18762115423507705,-6.025548324897566e-06,274.1504177170108,0.0,274.14196313924435,0.0,,-3.156578643302985e-15,706.2592630122801,1.0
7001_liver_sham_Male_52-U1,sham,in_band,165961,band50um,29.229746747729887,32,ctcentred,cell_area,technical,0.05577688556687586,-6.025548324897566e-06,81.50515709446795,0.0,81.50437895190238,0.0,,-3.507309603669983e-15,85.79979420656403,1.0
