gene_name,gene_id,feature_type
BAX,ENSG00000087088,Gene Expression
BAZ2B,ENSG00000123636,Gene Expression
BBC3,ENSG00000105327,Gene Expression
BCAM,ENSG00000187244,Gene Expression
BCAN,ENSG00000132692,Gene Expression
BCAR1,ENSG00000050820,Gene Expression
BCAR3,ENSG00000137936,Gene Expression
BCAR4,ENSG00000262117,Gene Expression
BCAS3,ENSG00000141376,Gene Expression
BCCIP,ENSG00000107949,Gene Expression
BCHE,ENSG00000114200,Gene Expression
BCKDK,ENSG00000103507,Gene Expression
BCL10,ENSG00000142867,Gene Expression
BCL11A,ENSG00000119866,Gene Expression
BCL11B,ENSG00000127152,Gene Expression
BCL2,ENSG00000171791,Gene Expression
BCL2A1,ENSG00000140379,Gene Expression
BCL2L1,ENSG00000171552,Gene Expression
BCL2L11,ENSG00000153094,Gene Expression
BCL2L12,ENSG00000126453,Gene Expression
BCL2L13,ENSG00000099968,Gene Expression
BCL2L2,ENSG00000129473,Gene Expression
BCL3,ENSG00000069399,Gene Expression
BCL6,ENSG00000113916,Gene Expression
BCL6B,ENSG00000161940,Gene Expression
BCL7B,ENSG00000106635,Gene Expression
BCL7C,ENSG00000099385,Gene Expression
BCOR,ENSG00000183337,Gene Expression
BCORL1,ENSG00000085185,Gene Expression
BCR,ENSG00000186716,Gene Expression
BDKRB1,ENSG00000100739,Gene Expression
BDKRB2,ENSG00000168398,Gene Expression
BDNF,ENSG00000176697,Gene Expression
BEAN1,ENSG00000166546,Gene Expression
BECN1,ENSG00000126581,Gene Expression
BEX2,ENSG00000133134,Gene Expression
BFSP1,ENSG00000125864,Gene Expression
BFSP2,ENSG00000170819,Gene Expression
BHMT,ENSG00000145692,Gene Expression
BICRAL,ENSG00000112624,Gene Expression
BID,ENSG00000015475,Gene Expression
BIK,ENSG00000100290,Gene Expression
BIRC2,ENSG00000110330,Gene Expression
BIRC5,ENSG00000089685,Gene Expression
BIRC7,ENSG00000101197,Gene Expression
BLK,ENSG00000136573,Gene Expression
BLM,ENSG00000197299,Gene Expression
BLNK,ENSG00000095585,Gene Expression
BLOC1S2,ENSG00000196072,Gene Expression
BLVRA,ENSG00000106605,Gene Expression
BMI1,ENSG00000168283,Gene Expression
BMP2,ENSG00000125845,Gene Expression
