section,arm,week,call,celltype,module,n,lam,n_perm,beta_obs,N1_null_mean,N1_null_sd,N1_null_lo,N1_null_hi,N1_sf,N1_p,N1_full_null_mean,N1_full_sf,N3_null_mean,N3_null_sd,N3_null_lo,N3_null_hi,N3_sf,N3_p,N3_full_null_mean,N3_full_sf,N4_null_mean,N4_null_sd,N4_null_lo,N4_null_hi,N4_sf,N4_p,N4_full_null_mean,N4_full_sf,beta_obs_full
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Hepatocytes,downstream_arrest,28507,44.99999999999999,1000,-0.0024670202799814585,-0.0003458398487799518,0.0004540759885469824,-0.0012954658756246058,0.0005449494568363466,0.8598147524014067,0.0,-1.9178519786841022e-05,0.9701556453304638,-6.081603540223319e-06,0.0011048020867320673,-0.001635949621966367,0.0026427273690044963,0.9975348384488072,0.04,7.757656451960384e-06,1.0120719561848341,-0.0020456314486486924,0.0012259605967074815,-0.003418295895759585,0.00038645108286995813,0.1708088234021056,0.482,-0.001531250592994535,-1.3828317457858217,-0.0006426180093087319
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Hepatocytes,emt_ecm,28507,6.999999999999999,1000,0.017712254305353878,0.002011629302943774,0.0005506169383291778,0.0010208749847582877,0.003134204752129241,0.8864272571822932,0.0,0.0002740910662093605,0.9388968265168143,-7.083573771342519e-05,0.002946050695370038,-0.005109568900583151,0.00553278846430749,1.0039992502643786,0.0,-4.244954844630009e-05,1.0094632859029997,0.000790761933678135,0.0021134636032930803,-0.003216885561833301,0.006596769250851184,0.9553550937082519,0.0,0.0014974260217790881,0.6661785323673587,0.0044857091798150995
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Hepatocytes,il6_jak_stat3,28507,6.999999999999999,1000,0.007899664870435927,0.0009151483694373453,0.00048395331046671274,-8.09171149154805e-05,0.001834408965242869,0.8841535198711734,0.0,8.167150982786134e-05,0.9310570236301743,-4.201483159937344e-05,0.001928388667270446,-0.003662030439913173,0.003875909638623495,1.0053185587348916,0.0,-2.8514266210946992e-05,1.024070307818818,0.00027772762376975467,0.001404369143000719,-0.0025527906038423304,0.0032644391954958695,0.9648431131795052,0.0,0.0009813726153383678,0.17157465103961972,0.001184624078162174
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Hepatocytes,interferon_response,28507,6.999999999999999,1000,0.01102830126072158,0.0013834920889296285,0.0004825962343594334,0.000455587991316806,0.0023246581128909204,0.874550752992478,0.0,0.0001451419536876316,0.9318373485584842,-4.818300059840254e-05,0.0020563714169924566,-0.003655390198287771,0.0038880814918947453,1.0043690319532719,0.0,-4.284224969951584e-05,1.020119898203405,9.933531337838152e-05,0.0014410334772113778,-0.002951803019659585,0.0029571901857142267,0.9909926913465654,0.0,0.0010716545518346513,0.4967215623979578,0.0021293472395533895
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Hepatocytes,oxidative_stress,28507,6.999999999999999,1000,-0.018813584124849653,-0.0015434329457278944,0.0011043993742955944,-0.0037781793166821614,0.0005689809084343961,0.9179617804090144,0.0,-1.8472666688434885e-05,0.9840404800308239,5.041047310831837e-05,0.004535618395666178,-0.009388818343965917,0.009066760637457148,1.002679472065173,0.0,-2.506732958488957e-05,0.9783429997503054,-0.007451621928765147,0.004461270393195289,-0.01516166331696936,0.0003605589146137844,0.6039233205477962,0.0,-0.0037367932570916205,-2.228414587514487,-0.0011574700695329615
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Hepatocytes,secondary_senescence,28507,6.999999999999999,1000,0.012653604344499482,0.0015609009644492046,0.0005808693115960829,0.00046280807111031516,0.002676168061584649,0.8766437671075334,0.0,0.00017726064394513923,0.8553453484202532,5.141255062602386e-06,0.0014284165407500947,-0.0026901744168762276,0.0026992428350413687,0.9995936924434627,0.0,3.2708569386987475e-05,0.9733079684071836,4.6973761594047104e-05,0.0013949391367070211,-0.002461616081091245,0.002522228688027268,0.996287716897481,0.0,-0.0003674296073510797,1.299843217583612,0.001225405764759781
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Hepatocytes,tnfa_nfkb_proximal,28507,6.999999999999999,1000,0.00274840355162404,0.0002969596684439444,0.0003973612251338198,-0.0004955027950648412,0.001046531833584232,0.8919519412393169,0.0,2.621435515670356e-05,0.9733397256589742,-7.991884641448537e-07,0.0011675500304711998,-0.002219407807874395,0.0022118465486951648,1.0002907827941325,0.014,7.71522922329031e-06,0.9921535309006363,-0.00040663542865034143,0.0009165582201191859,-0.0022790473996346277,0.0012472508356484774,1.14795331944978,0.011,0.0005375728419454196,0.4532827773608289,0.0009832740211665387
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Kupffer cells,downstream_arrest,12526,44.99999999999999,1000,-0.003979168972223445,-0.0024077891632632927,0.0008076553463176487,-0.004043279076042309,-0.0008688646959895928,0.3949015032860267,0.029,-7.944120905582808e-05,1.0888657025052972,2.728121482700835e-05,0.0006662874913607945,-0.0012614260312837425,0.00134548331347147,1.0068560081307039,0.0,3.679208241068368e-05,0.9588430955556015,-0.0001674754773889076,0.0006691681457046048,-0.001239102508366496,0.0010462718127260313,0.9579119462988456,0.0,-0.00011295945011831015,1.1263603740260455,0.0008939467850500878
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Kupffer cells,emt_ecm,12526,44.99999999999999,1000,0.016353263028315527,0.01147730230193516,0.0017616248031001934,0.008133599371793573,0.014996642066054356,0.2981643918976712,0.002,0.00040070204191435546,1.4271069441543376,-2.8673872618372656e-05,0.0027560927667041163,-0.0051791247123808655,0.005398628534426444,1.001753403743872,0.0,8.228160618221494e-06,1.0087703684285463,-0.0015772124902637165,0.0022603082712513243,-0.004769957968635741,0.002196893146251411,1.0964463475902508,0.0,-0.0005756541838980852,0.3864121625142086,-0.0009381773052361316
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Kupffer cells,il6_jak_stat3,12526,6.999999999999999,1000,0.0112963696067753,0.001979606890768187,0.0014374373686460776,-0.000979673485762843,0.004717814636719513,0.824757248595968,0.0,-1.6074524701708093e-05,1.0202822310268511,-0.00016365379074843143,0.003588962011778034,-0.007200718257489639,0.006707881605892458,1.0144872907354479,0.002,-0.00011723969256187511,1.1479286370317539,0.0007359326597086006,0.0026109566467042563,-0.0037917575563603946,0.005743279137344686,0.9348522857053823,0.0,0.0010408357519469745,-0.31328742676612537,0.000792542234650001
