panel,section,celltype,module,series,bin_lo,bin_hi,n,value,lo,hi,sem
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,5.0,10.0,,-9.6364711141027e-05,-0.0016425944317506,0.00143048009291,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,10.0,15.0,,-0.0003971939423576,-0.0010365764174717,0.0003305148775709,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,15.0,20.0,,-0.0005097621545716,-0.00110604664221,0.0001460129059892,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,20.0,25.0,,-0.0004872619305338,-0.0011240203305927,0.0001579712456172,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,25.0,30.0,,-0.0004521011930638,-0.0010776282807699,0.0002369070615513,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,30.0,35.0,,-0.0003773569694808,-0.0010921051967425,0.0003095394339901,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,35.0,40.0,,-0.0004466747043409,-0.0011660589633379,0.0002760309364657,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,40.0,45.0,,-0.000452922573428,-0.0012972668023322,0.0004189387597445,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,45.0,50.0,,-0.0004714777351257,-0.0013604450138187,0.0004952175689452,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,50.0,55.0,,-0.0004909997194671,-0.0015034259433789,0.0005622204909567,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,55.0,60.0,,-0.0003880444340508,-0.0015743793580175,0.0007862731459947,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,60.0,65.0,,-0.0005019343302613,-0.0018312103255705,0.0008462150863074,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,65.0,70.0,,-0.0004294476236102,-0.002016437341374,0.0011930136342678,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,70.0,75.0,,-0.000446377736701,-0.0021774843638805,0.0013248471428578,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,75.0,80.0,,-0.00040791722295,-0.0022861704517337,0.0016134338445807,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,80.0,85.0,,-0.0004520433387788,-0.0026191414097944,0.0016947491589645,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,85.0,90.0,,-0.0004292546959616,-0.0026777601497317,0.0017725273352391,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,90.0,95.0,,-0.0004621037092751,-0.0029147628847525,0.0019548845323638,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,95.0,100.0,,-0.0003759212219454,-0.0011719031766966,0.0006410766583315,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,0.0,5.0,,-0.0004154008649849,-0.0014374092553795,0.0006616493473668,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,5.0,10.0,,-0.0004396543611043,-0.0010080371374233,0.0001988372033227,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,10.0,15.0,,-0.0004405256763846,-0.0009707133374433,8.398087260080156e-05,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,15.0,20.0,,-0.000457022317084,-0.0009631540935834,7.163342651803302e-05,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,20.0,25.0,,-0.0004480024201895,-0.0009372746639034,5.819879448468084e-05,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,25.0,30.0,,-0.0004458960165499,-0.0009281875635845,2.596168185502916e-05,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,30.0,35.0,,-0.0004570084352884,-0.0009921743543752,7.831182985355782e-05,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,35.0,40.0,,-0.0004629690831897,-0.0010478413499992,0.0001331514093169,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,40.0,45.0,,-0.0004582936331536,-0.0010815621494092,0.0001735193937073,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,45.0,50.0,,-0.0004536758598229,-0.0011289540499142,0.0003915191574649,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,50.0,55.0,,-0.0004030517467005,-0.0012176304600969,0.0004209999954347,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,55.0,60.0,,-0.0004493227502874,-0.0014284116996203,0.0006693314734444,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,60.0,65.0,,-0.0003926408691187,-0.0016550817602446,0.0009966375536961,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,65.0,70.0,,-0.00040510451002,-0.0020243517080035,0.0013496185956057,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,70.0,75.0,,-0.0003946828605813,-0.0021408115331627,0.0013760888514904,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,75.0,80.0,,-0.0004393491295108,-0.0024993430392237,0.0015818519224685,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,80.0,85.0,,-0.0005002272050883,-0.0029301876048297,0.0021754868717071,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,85.0,90.0,,-0.0003505094060772,-0.0028826984192756,0.0023548485168974,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,90.0,95.0,,-0.0002729610865131,-0.0030039724063025,0.0023596922177463,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,95.0,100.0,,-0.0004104159630807,-0.0023067451318463,0.0016428954482279,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,0.0,5.0,41.0,-0.0032107317160031,,,0.0027292053156411
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,0.0,5.0,2810.0,-0.0071872348715532,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,5.0,10.0,1297.0,-0.0069901927561767,,,0.0005738403525512
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,5.0,10.0,1139.0,-0.0060814047084694,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,10.0,15.0,4116.0,-0.0062328838648248,,,0.0002796649341488
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,10.0,15.0,3782.0,-0.0062760364836711,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,15.0,20.0,5279.0,-0.0065223451383734,,,0.0002334835104571
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,15.0,20.0,5037.0,-0.0063453543777451,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,20.0,25.0,5415.0,-0.0058863490262087,,,0.0002410665342618
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,20.0,25.0,5235.0,-0.0063753505363426,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,25.0,30.0,5537.0,-0.0066406754555705,,,0.0002285371212647
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,25.0,30.0,5274.0,-0.0065930754591026,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,30.0,35.0,5337.0,-0.0069775641790358,,,0.0002311765486909
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,30.0,35.0,5137.0,-0.0067244909353648,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,35.0,40.0,4970.0,-0.0065680241398019,,,0.0002398081883038
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,35.0,40.0,4731.0,-0.0067958232945192,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,40.0,45.0,4305.0,-0.0074752706060495,,,0.0002425526268578
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,40.0,45.0,4209.0,-0.0073906272435329,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,45.0,50.0,3727.0,-0.0074314998676336,,,0.0002696078007003
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,45.0,50.0,3438.0,-0.0074286532713615,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,50.0,55.0,3116.0,-0.0074783889483403,,,0.0003005181802971
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,50.0,55.0,2943.0,-0.0074515120582422,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,55.0,60.0,2382.0,-0.0076779597032707,,,0.0003365003335313
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,55.0,60.0,2268.0,-0.0071387433919345,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,60.0,65.0,1941.0,-0.0080136784991975,,,0.0003859090371246
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,60.0,65.0,1777.0,-0.007962723677616,,,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,65.0,70.0,1493.0,-0.0078716208986836,,,0.000435838893846
