section,arm,caller,stratum_kind,stratum,bg_pct,call_pct,enrichment
7250_liver_sham_Male_26-U1,sham,deepscence_score,depth_quintile,Q5_high,19.97,2.68,0.134
7250_liver_sham_Male_26-U1,sham,deepscence_score,zonation_hepatocyte,periportal,33.33,40.12,1.204
7250_liver_sham_Male_26-U1,sham,deepscence_score,zonation_hepatocyte,midzonal,33.33,32.72,0.981
7250_liver_sham_Male_26-U1,sham,deepscence_score,zonation_hepatocyte,pericentral,33.33,27.16,0.815
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,depth_quintile,Q1_low,20.05,13.45,0.671
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,depth_quintile,Q2,19.95,21.37,1.071
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,depth_quintile,Q3,20.02,19.8,0.989
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,depth_quintile,Q4,20.02,19.92,0.995
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,depth_quintile,Q5_high,19.97,25.46,1.275
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,zonation_hepatocyte,periportal,33.33,35.27,1.058
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,zonation_hepatocyte,midzonal,33.33,44.69,1.341
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,zonation_hepatocyte,pericentral,33.33,20.03,0.601
7259_liver_sbr_Male_26-U1,SBR,tierA_score,depth_quintile,Q1_low,20.08,38.04,1.894
7259_liver_sbr_Male_26-U1,SBR,tierA_score,depth_quintile,Q2,19.92,29.13,1.462
7259_liver_sbr_Male_26-U1,SBR,tierA_score,depth_quintile,Q3,20.07,20.66,1.029
7259_liver_sbr_Male_26-U1,SBR,tierA_score,depth_quintile,Q4,19.92,10.22,0.513
7259_liver_sbr_Male_26-U1,SBR,tierA_score,depth_quintile,Q5_high,20.0,1.95,0.098
7259_liver_sbr_Male_26-U1,SBR,tierA_score,zonation_hepatocyte,periportal,33.34,18.08,0.542
7259_liver_sbr_Male_26-U1,SBR,tierA_score,zonation_hepatocyte,midzonal,33.33,29.86,0.896
7259_liver_sbr_Male_26-U1,SBR,tierA_score,zonation_hepatocyte,pericentral,33.34,52.05,1.562
7259_liver_sbr_Male_26-U1,SBR,senepy_score,depth_quintile,Q1_low,20.08,0.98,0.049
7259_liver_sbr_Male_26-U1,SBR,senepy_score,depth_quintile,Q2,19.92,6.82,0.342
7259_liver_sbr_Male_26-U1,SBR,senepy_score,depth_quintile,Q3,20.07,21.34,1.063
7259_liver_sbr_Male_26-U1,SBR,senepy_score,depth_quintile,Q4,19.92,43.56,2.186
7259_liver_sbr_Male_26-U1,SBR,senepy_score,depth_quintile,Q5_high,20.0,27.3,1.365
7259_liver_sbr_Male_26-U1,SBR,senepy_score,zonation_hepatocyte,periportal,33.34,18.94,0.568
7259_liver_sbr_Male_26-U1,SBR,senepy_score,zonation_hepatocyte,midzonal,33.33,30.3,0.909
7259_liver_sbr_Male_26-U1,SBR,senepy_score,zonation_hepatocyte,pericentral,33.34,50.76,1.523
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,depth_quintile,Q1_low,20.08,20.55,1.023
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,depth_quintile,Q2,19.92,12.88,0.647
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,depth_quintile,Q3,20.07,10.09,0.503
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,depth_quintile,Q4,19.92,12.67,0.636
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,depth_quintile,Q5_high,20.0,43.79,2.19
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,zonation_hepatocyte,periportal,33.34,33.65,1.009
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,zonation_hepatocyte,midzonal,33.33,33.16,0.995
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,zonation_hepatocyte,pericentral,33.34,33.19,0.996
