section,arm,week,band,call,n_cells,area_um2,median_depth,median_nn_um,n_senders,sender_prevalence,sender_density_per_um2,median_d_um,iqr_d_um,p90_d_um,poisson_median_pred_um,obs_over_poisson,panel,poisson_prediction_um,series,subset,n,slope,intercept,r2,ratio_median
7435_liver_sham_Male_10-U1,sham,10.0,in_band,tierA_p99,172218.0,41241250.0,770.0,10.611853078719262,1397.0,0.0081118117734499,3.387385202921832e-05,83.65445632672036,68.16309374738367,160.2345017446351,80.70594017407396,1.0365340660958384,2d,80.70594017407396,observed,,,,,,
7435_liver_sham_Male_10-U1,sham,10.0,in_band,cdkn1a_pos,172218.0,41241250.0,770.0,10.611853078719262,2995.0,0.01739074893449,7.26214651592762e-05,56.30149507995284,44.92960962919752,106.63991659688662,55.1195027272563,1.0214441766382636,2d,55.1195027272563,observed,,,,,,
7435_liver_sham_Male_10-U1,sham,10.0,in_band,senepy_p90,172218.0,41241250.0,770.0,10.611853078719262,11948.0,0.0693771847309805,0.0002897099384717,30.02086689843696,24.136020965880217,59.65624019772511,27.596632947695717,1.0878452800867384,2d,27.596632947700336,observed,,,,,,
7435_liver_sham_Male_10-U1,sham,10.0,in_band,senepy_p95,172218.0,41241250.0,770.0,10.611853078719262,5975.0,0.0346943989594583,0.0001448792168035,42.31715914902064,36.21258665283021,85.94123675920571,39.02426655149458,1.0843806402659972,2d,39.02426655150326,observed,,,,,,
7435_liver_sham_Male_10-U1,sham,10.0,in_band,senepy_p99,172218.0,41241250.0,770.0,10.611853078719262,1198.0,0.006956299573796,2.9048586063710484e-05,94.85297965777372,83.80900790333537,196.3585488645586,87.15158605699632,1.0883677962640952,2d,87.15158605699632,observed,,,,,,
7239_liver_sbr_Male_52-U1,sbr,52.0,over_ceiling,tierA_p90,83392.0,16683750.0,826.0,8.501764233534523,7472.0,0.08960092095165,0.0004478609425339,21.49980012806317,17.988188462148297,42.6872659883786,22.19556472409929,0.9686529896993032,2d,22.195564724099366,observed,,,,,,
7239_liver_sbr_Male_52-U1,sbr,52.0,over_ceiling,tierA_p95,83392.0,16683750.0,826.0,8.501764233534523,3738.0,0.0448244435917114,0.0002240503483928,30.59980771718822,26.551868957734413,61.06463408572216,31.380870190670347,0.9751102353524174,2d,31.380870190677157,observed,,,,,,
7239_liver_sbr_Male_52-U1,sbr,52.0,over_ceiling,tierA_p99,83392.0,16683750.0,826.0,8.501764233534523,753.0,0.0090296431312356,4.51337379186334e-05,69.1097935481082,59.15666774655938,135.39597627408165,69.91770151724039,0.988444872305578,2d,69.91770151724039,observed,,,,,,
7239_liver_sbr_Male_52-U1,sbr,52.0,over_ceiling,cdkn1a_pos,83392.0,16683750.0,826.0,8.501764233534523,16798.0,0.2014341903300076,0.0010068479808196,16.277446321274564,9.0388823475602,27.57781039293568,14.803208033876494,1.0995891082543958,2d,14.803208033876933,observed,,,,,,
7239_liver_sbr_Male_52-U1,sbr,52.0,over_ceiling,senepy_p90,83392.0,16683750.0,826.0,8.501764233534523,4554.0,0.0546095548733691,0.0002729602157788,32.82030208744573,27.74321974104526,65.63319843403151,28.43073699177025,1.1543950512765857,2d,28.430736991771642,observed,,,,,,
7239_liver_sbr_Male_52-U1,sbr,52.0,over_ceiling,senepy_p95,83392.0,16683750.0,826.0,8.501764233534523,2278.0,0.0273167689946277,0.0001365400464523,47.53612580894821,41.87769012556167,97.62017478999176,40.19830777807345,1.182540470892092,2d,40.19830777808615,observed,,,,,,
7239_liver_sbr_Male_52-U1,sbr,52.0,over_ceiling,senepy_p99,83392.0,16683750.0,826.0,8.501764233534523,458.0,0.0054921335379892,2.7451861841612347e-05,105.92293248687622,89.63641496670077,209.40102474885205,89.6503298732938,1.181511910068609,2d,89.6503298732938,observed,,,,,,
7448_liver_sbr_Male_10-U1,sbr,10.0,over_ceiling,tierA_p90,187536.0,32953125.0,756.0,7.805134287924633,15796.0,0.0842291613343571,0.0004793475580844,19.58746490373431,16.780500845546626,39.69976392179932,21.45421035637812,0.9129893190364452,2d,21.454210356378123,observed,,,,,,
7448_liver_sbr_Male_10-U1,sbr,10.0,over_ceiling,tierA_p95,187536.0,32953125.0,756.0,7.805134287924633,7901.0,0.0421305775957682,0.000239764817449,27.975731218800057,24.74646333822477,56.5203868815941,30.335074520158507,0.9222239160879396,2d,30.33507452016028,observed,,,,,,
7448_liver_sbr_Male_10-U1,sbr,10.0,over_ceiling,tierA_p99,187536.0,32953125.0,756.0,7.805134287924633,1585.0,0.0084517106048971,4.809862494073021e-05,64.83355323608876,55.062152064401786,125.60953227918132,67.72850101241154,0.9572565798290402,2d,67.72850101241154,observed,,,,,,
7448_liver_sbr_Male_10-U1,sbr,10.0,over_ceiling,cdkn1a_pos,187536.0,32953125.0,756.0,7.805134287924633,16319.0,0.0870179592184967,0.000495218587008,21.48760594797321,15.126821221759773,39.80561867287148,21.10762286076532,1.018002173419263,2d,21.10762286076661,observed,,,,,,
7448_liver_sbr_Male_10-U1,sbr,10.0,over_ceiling,senepy_p90,187536.0,32953125.0,756.0,7.805134287924633,8731.0,0.0465563945055882,0.0002649521100047,30.77210919782585,25.948644511377324,62.97210752756609,28.85719425392033,1.0663583204609497,2d,28.857194253922593,observed,,,,,,
7448_liver_sbr_Male_10-U1,sbr,10.0,over_ceiling,senepy_p95,187536.0,32953125.0,756.0,7.805134287924633,4367.0,0.0232861957170889,0.0001325215742057,45.96558116913809,41.55752928238369,97.08160797645876,40.80322602740214,1.1265183085834702,2d,40.80322602741518,observed,,,,,,
7448_liver_sbr_Male_10-U1,sbr,10.0,over_ceiling,senepy_p99,187536.0,32953125.0,756.0,7.805134287924633,877.0,0.0046764354577254,2.6613560929350404e-05,119.10291728182855,115.8244841073819,257.72333801945183,91.05133133977844,1.308085401160905,2d,91.05133133977843,observed,,,,,,
7361_liver_sbr_Male_2-U1,sbr,2.0,over_ceiling,tierA_p90,193983.0,31231250.0,789.0,8.773145145970076,15729.0,0.0810844249238335,0.0005036301781068,21.760592751104795,18.5017411177494,43.98067276898974,20.93061172468212,1.0396539306801025,2d,20.93061172468345,observed,,,,,,
7361_liver_sbr_Male_2-U1,sbr,2.0,over_ceiling,tierA_p95,193983.0,31231250.0,789.0,8.773145145970076,7867.0,0.0405551001891918,0.0002518951370822,31.358627677727096,27.7349650993348,64.19491993218836,29.59565134915375,1.0595687625784844,2d,29.595651349156647,observed,,,,,,
7361_liver_sbr_Male_2-U1,sbr,2.0,over_ceiling,tierA_p99,193983.0,31231250.0,789.0,8.773145145970076,1578.0,0.0081347334560244,5.052631578947368e-05,71.71981207075738,64.12666915418234,144.86706221872922,66.08136085933181,1.08532589429307,2d,66.08136085933181,observed,,,,,,
7361_liver_sbr_Male_2-U1,sbr,2.0,over_ceiling,cdkn1a_pos,193983.0,31231250.0,789.0,8.773145145970076,31025.0,0.1599366954836248,0.0009933960376225,15.823494553215692,10.47889701243422,29.464490846635304,14.903098864128518,1.061758678344579,2d,14.903098864129069,observed,,,,,,
7361_liver_sbr_Male_2-U1,sbr,2.0,over_ceiling,senepy_p90,193983.0,31231250.0,789.0,8.773145145970076,13640.0,0.0703154400127846,0.0004367420452271,23.838893750817306,18.85808110010087,46.75918575474893,22.476324440549767,1.060622425782808,2d,22.4763244405507,observed,,,,,,
7361_liver_sbr_Male_2-U1,sbr,2.0,over_ceiling,senepy_p95,193983.0,31231250.0,789.0,8.773145145970076,6821.0,0.0351628750973023,0.000218403041825,33.7679758945655,27.804246121946612,66.30112143095063,31.78399273678905,1.062420828440476,2d,31.78399273679597,observed,,,,,,
7361_liver_sbr_Male_2-U1,sbr,2.0,over_ceiling,senepy_p99,193983.0,31231250.0,789.0,8.773145145970076,1367.0,0.0070470092740085,4.377026215729438e-05,75.54629184305072,62.44665420973601,146.76805046540412,70.99834418702193,1.064057094684472,2d,70.99834418702193,observed,,,,,,
7450_liver_sbr_Male_10-U1,sbr,10.0,over_ceiling,tierA_p90,93197.0,20956250.0,750.0,9.7113998560809,7778.0,0.08345762202646,0.0003711541902773,24.501681502193613,20.10484636498507,47.83152971234596,24.381510630912157,1.0049287705384875,2d,24.38151063091424,observed,,,,,,
7450_liver_sbr_Male_10-U1,sbr,10.0,over_ceiling,tierA_p95,93197.0,20956250.0,750.0,9.7113998560809,3891.0,0.0417502709314677,0.0001856725320608,34.95454793688786,29.6675455709896,68.92456716408752,34.47180022075697,1.0140041341919883,2d,34.47180022076078,observed,,,,,,
7450_liver_sbr_Male_10-U1,sbr,10.0,over_ceiling,tierA_p99,93197.0,20956250.0,750.0,9.7113998560809,783.0,0.008401557990064,3.736355502535044e-05,80.10222879607231,66.93987030808253,153.80223682604222,76.8446609089782,1.0423915968729782,2d,76.8446609089782,observed,,,,,,
7450_liver_sbr_Male_10-U1,sbr,10.0,over_ceiling,cdkn1a_pos,93197.0,20956250.0,750.0,9.7113998560809,10279.0,0.1102932497827183,0.0004904980614375,21.991420265136405,15.24156900864944,40.857768789658095,21.208948939036283,1.036893451360993,2d,21.208948939036684,observed,,,,,,
7450_liver_sbr_Male_10-U1,sbr,10.0,over_ceiling,senepy_p90,93197.0,20956250.0,750.0,9.7113998560809,5930.0,0.0636286575748146,0.0002829704742022,31.582009952625768,29.34494979806181,70.29261539996428,27.923331543149267,1.1310258557014528,2d,27.923331543149615,observed,,,,,,
7450_liver_sbr_Male_10-U1,sbr,10.0,over_ceiling,senepy_p95,93197.0,20956250.0,750.0,9.7113998560809,2966.0,0.0318250587465261,0.0001415329555621,45.22295271151389,43.66938740535539,100.11273565894103,39.48289657495277,1.1453808264969725,2d,39.482896574964364,observed,,,,,,
7450_liver_sbr_Male_10-U1,sbr,10.0,over_ceiling,senepy_p99,93197.0,20956250.0,750.0,9.7113998560809,596.0,0.006395055634838,2.844020280345959e-05,103.26988791591016,104.5618570935913,232.1820422962592,88.07881228758491,1.1724713950356762,2d,88.07881228758491,observed,,,,,,
7250_liver_sham_Male_26-U1,sham,26.0,below_floor,tierA_p90,236905.0,46393750.0,513.0,9.672114515843884,21776.0,0.0919187015892446,0.000469373568638,21.803782889539207,16.525378509027036,40.59714109294841,21.68095855233939,1.0056650787327188,2d,21.680958552339785,observed,,,,,,
7250_liver_sham_Male_26-U1,sham,26.0,below_floor,tierA_p95,236905.0,46393750.0,513.0,9.672114515843884,10890.0,0.0459677929971929,0.000234729893574,30.888202437416464,24.57351192579084,58.16936167703924,30.658689935427194,1.0074860505283385,2d,30.658689935428935,observed,,,,,,
7250_liver_sham_Male_26-U1,sham,26.0,below_floor,tierA_p99,236905.0,46393750.0,513.0,9.672114515843884,2182.0,0.0092104430045798,4.703219722484171e-05,70.78781922068183,58.117068391215525,135.66614020744936,68.492049203659,1.0335187812850573,2d,68.492049203659,observed,,,,,,
7250_liver_sham_Male_26-U1,sham,26.0,below_floor,cdkn1a_pos,236905.0,46393750.0,513.0,9.672114515843884,1496.0,0.0063147675228467,3.2245722753603664e-05,84.78199308374157,68.67848287286154,160.27326001140267,82.71832590320396,1.024948125557479,2d,82.71832590320396,observed,,,,,,
7250_liver_sham_Male_26-U1,sham,26.0,below_floor,senepy_p90,236905.0,46393750.0,513.0,9.672114515843884,18309.0,0.0772841434330216,0.0003946436750639,25.38853461523447,20.292124984486527,50.92543113647179,23.64477691062694,1.0737481140633562,2d,23.644776910629645,observed,,,,,,
7250_liver_sham_Male_26-U1,sham,26.0,below_floor,senepy_p95,236905.0,46393750.0,513.0,9.672114515843884,9155.0,0.0386441822671535,0.0001973326148457,36.08868973583338,30.25952317493356,72.98800373234351,33.43785104536739,1.0792765864908431,2d,33.437851045371595,observed,,,,,,
