section,arm,week,call,celltype,module,bin_lo,bin_hi,n,mean_obs,sem_obs,n_decoy,mean_decoy
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,10.0,15.0,4302.0,0.054459144564263436,0.0007855659998417916,4182.0,0.05373669531860354
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,15.0,20.0,4053.0,0.054860320792910824,0.000805367263243959,4079.0,0.05606481731661736
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,20.0,25.0,3950.0,0.057043359439321414,0.0008228837768367536,3720.0,0.058128430109896455
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,25.0,30.0,3396.0,0.05566415778967852,0.00087989371564476,3250.0,0.056568159982688555
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,30.0,35.0,2844.0,0.05654593181791373,0.0009494395044527598,2655.0,0.05486651982061618
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,35.0,40.0,2208.0,0.05840342842027209,0.001083605518033716,2101.0,0.05677236554741773
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,40.0,45.0,1663.0,0.056460938054371426,0.0012411273624121722,1531.0,0.057604709352813886
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,45.0,50.0,1141.0,0.05819730933898579,0.0015372441233907613,1055.0,0.061931886278069136
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,50.0,55.0,815.0,0.05726693257357549,0.0016878315296873733,779.0,0.05575291403475114
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,55.0,60.0,564.0,0.05732021266040576,0.002172594333629543,501.0,0.059751916230079825
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,60.0,65.0,351.0,0.05777706544141668,0.0027025284893391335,299.0,0.059525451455872666
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,65.0,70.0,231.0,0.06063203459178593,0.0032939403998927517,189.0,0.06310835991308239
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,70.0,75.0,137.0,0.06527306552276178,0.004254110692869875,124.0,0.06245443543816838
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,75.0,80.0,74.0,0.05905040556004875,0.005716854972642687,81.0,0.06389333331457304
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,80.0,85.0,39.0,0.07666692309654675,0.00682550735695582,54.0,0.05643259272996888
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,85.0,90.0,30.0,0.04883800067473203,0.010570698020577234,32.0,0.0639512502548314
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,90.0,95.0,30.0,0.05718166598429283,0.009889748887863157,16.0,0.07480187530745752
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,95.0,100.0,18.0,0.06345944517912964,0.0083120120282941,31.0,0.055420645242256504
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,0.0,5.0,679.0,0.044161281274675855,0.000927700914113056,2195.0,0.04478843281488942
