beta_obs,lam_obs,beta_true,lam_true,N1_p_beta,N1_null_beta_mean,N1_null_beta_q95,N1_null_lam_mean,N1_reject05,N1_surviving_beta,N1_surviving_frac,N3_p_beta,N3_null_beta_mean,N3_null_beta_q95,N3_null_lam_mean,N3_reject05,N3_surviving_beta,N3_surviving_frac,N4_p_beta,N4_null_beta_mean,N4_null_beta_q95,N4_null_lam_mean,N4_reject05,N4_surviving_beta,N4_surviving_frac,regime,beta_true_cfg,rep
1.5326567112783052,8.403820705572048,0.0,30.0,0.945273631840796,2.7229203903333414,3.7383931572775104,386.9071602955888,0.0,-1.1902636790550363,-0.7766016161977345,0.004975124378109453,0.03966142553710466,0.6648259149604376,201.93130981927243,1.0,1.4929952857412006,0.9741224337809964,0.004975124378109453,0.3119224010112865,0.9532472839192624,252.98924915522952,1.0,1.2207343102670187,0.796482539947821,confounded,0.0,3
0.5142767494338308,62.63542794902594,0.0,30.0,0.9950248756218906,2.5921414484585505,3.4224058534369184,395.94355832961895,0.0,-2.07786469902472,-4.040362900543819,0.19900497512437812,0.09200603131556116,0.8327850172055583,202.9285764744065,0.0,0.42227071811826966,0.8210962649646305,0.11940298507462686,0.00790002144277553,0.7976946106660852,211.90775612018263,0.0,0.5063767279910553,0.9846385794195971,confounded,0.0,4
0.5041106765279909,32.065569585653414,0.0,30.0,1.0,2.5741761711143862,3.571486200550388,388.83428575687225,0.0,-2.0700654945863954,-4.1063710628859384,0.12935323383084577,0.06051790290017763,0.6787562022892446,180.27195660223566,0.0,0.4435927736278133,0.8799511581127615,0.07960199004975124,0.07084584093307823,0.5819467732050474,183.21098919991107,0.0,0.4332648355949127,0.8594637165373654,confounded,0.0,5
0.4336132752422208,30.455882100450456,0.0,30.0,1.0,2.6215552108378124,3.71822991535828,388.2915728427439,0.0,-2.1879419355955916,-5.045837063852312,0.15422885572139303,0.010700602312213054,0.6461646629140491,184.77475920263657,0.0,0.4229126729300078,0.9753222446747379,0.15422885572139303,-0.035502249390725764,0.49978594696034107,138.87726159368248,0.0,0.4691155246329466,1.0818753747123953,confounded,0.0,6
0.813792746150223,10.326374776750328,0.0,30.0,0.9950248756218906,2.6532726012224286,3.6969701280810043,386.6019939528547,0.0,-1.8394798550722056,-2.260378780437845,0.03482587064676617,0.012460739188886056,0.6595636284461018,215.033396363766,1.0,0.801332006961337,0.9846880680027764,0.009950248756218905,0.07205485101791292,0.4927416248550386,140.4166966554011,1.0,0.7417378951323101,0.9114579831796488,confounded,0.0,7
0.747533534941271,24.785636599059412,0.0,30.0,0.9701492537313433,2.584301398030773,3.500675506405034,378.4892237630572,0.0,-1.8367678630895021,-2.4571042999881008,0.029850746268656716,0.10179515518983269,0.6264313965316354,213.24561357071855,1.0,0.6457383797514382,0.8638252995595306,0.01990049751243781,0.18062631635175655,0.6515970990506545,187.7397224176927,1.0,0.5669072185895144,0.7583702831927839,confounded,0.0,8
0.6861245823636799,28.9270007207838,0.0,30.0,0.9950248756218906,2.8061173647151163,3.6708617133522505,390.09638054802684,0.0,-2.1199927823514364,-3.0898073569206934,0.05472636815920398,0.029613255190075165,0.6677445896262131,174.8315953587245,0.0,0.6565113271736047,0.9568398277058398,0.12935323383084577,0.2686418913025859,0.8970664738980968,212.99117759531208,0.0,0.417482691061094,0.6084648499589941,confounded,0.0,9
0.8118043650504561,17.28325925889386,0.0,30.0,0.9353233830845771,2.301704566223788,3.395421059565081,352.30278470812516,0.0,-1.4899002011733318,-1.8352946415614926,0.014925373134328358,0.03310824879326427,0.5929728647246783,181.5786237171451,1.0,0.7786961162571918,0.959216468623932,0.03980099502487562,0.07282945740800537,0.5947491196181792,136.56992401234118,1.0,0.7389749076424507,0.9102869354447499,confounded,0.0,10
0.6160199621367285,62.63542794902594,0.0,30.0,0.9950248756218906,2.453145211625061,3.2411187819479452,381.37006504357817,0.0,-1.8371252494883326,-2.9822495412584926,0.03482587064676617,0.00011432458842992376,0.5447824653698861,160.5180495282092,1.0,0.6159056375482985,0.999814414149773,0.024875621890547265,0.028774160235275542,0.5001315736867415,112.23717784855515,1.0,0.5872458019014529,0.9532902145971546,confounded,0.0,11
1.4677146017989837,27.47486899050773,1.0,30.0,0.9552238805970149,2.570978906631252,3.4519473759234494,390.40759524452386,0.0,-1.1032643048322683,-0.7516885799732406,0.004975124378109453,0.12871333193344936,0.7960461355051919,183.0914479577393,1.0,1.3390012698655345,0.9123035692527112,0.004975124378109453,0.2254186018156064,0.9133218772635894,236.90449714584463,1.0,1.2422959999833774,0.8464152352648738,confounded,1.0,0
