true_family,true_superposition,regime,rep,n,true_d_half,fit_family,fit_mode,lam,d_half,aic,beta,rss,k_params
exponential,False,confounded,14,11068,20.8,exponential,nearest,27.906945611001152,19.400000000000002,5291.992234367999,1.6872529143253898,17830.805667037537,6
exponential,False,confounded,14,11068,20.8,gaussian,nearest,29.25962240223122,34.6,5296.3024710001755,1.0959315424326257,17837.75091085918,6
exponential,False,confounded,14,11068,20.8,powerlaw,nearest,34.566523598792976,14.4,5294.013251815747,2.2215547514748355,17830.839526667303,7
exponential,False,confounded,14,11068,20.8,step,nearest,49.13285054333422,49.2,5387.479420668551,0.6557044619188004,17985.303238920904,6
exponential,False,confounded,14,11068,20.8,spline,nearest,,23.3,5241.780003459502,,17734.06574256703,11
exponential,False,confounded,14,11068,20.8,exponential,superposition,17.901628468571026,,5465.829512828152,0.45806142021115687,18113.072449757532,6
exponential,True,clean,0,11230,20.8,exponential,nearest,57.359958946412384,39.800000000000004,2472.4924448038432,2.284203960909773,13978.362871727146,6
exponential,True,clean,0,11230,20.8,gaussian,nearest,32.75413621680732,38.6,2479.302845082469,1.3712884561498198,13986.842579525897,6
exponential,True,clean,0,11230,20.8,powerlaw,nearest,356.28027143528845,43.6,2474.8538879683333,2.4888964497168926,13978.812779564934,7
exponential,True,clean,0,11230,20.8,step,nearest,38.92103695602845,39.0,2854.0881586715464,0.662149569835848,14461.510225445309,6
exponential,True,clean,0,11230,20.8,spline,nearest,,243.4,2468.2002978888668,,13960.584266061678,11
exponential,True,clean,0,11230,20.8,exponential,superposition,30.831655419554103,,1656.7119969055852,1.0610805732675372,12998.938032142974,6
exponential,True,clean,1,11215,20.8,exponential,nearest,62.866044343368756,43.6,2516.4941280259513,2.429507548847804,14018.67400025237,6
exponential,True,clean,1,11215,20.8,gaussian,nearest,34.743906451781854,41.0,2543.225231751021,1.4564765775686537,14052.127551419586,6
exponential,True,clean,1,11215,20.8,powerlaw,nearest,200.31110736082314,50.800000000000004,2518.4629679019163,2.803219208537419,14018.635050362596,7
exponential,True,clean,1,11215,20.8,step,nearest,30.831655419554103,31.0,2986.5247039806122,0.7051702652357604,14618.694912110208,6
exponential,True,clean,1,11215,20.8,spline,nearest,,26.1,2523.1746176190372,,14014.525248760314,11
exponential,True,clean,1,11215,20.8,exponential,superposition,28.527759021034033,,1944.6184778339707,1.1330304543768652,13321.753025455691,6
exponential,True,clean,2,11243,20.8,exponential,nearest,48.709146101143126,33.800000000000004,2483.5004055070976,2.3615545133603693,14004.707592160157,6
exponential,True,clean,2,11243,20.8,gaussian,nearest,31.52483486204492,37.2,2491.3734294168785,1.4555317560840701,14014.517964112649,6
exponential,True,clean,2,11243,20.8,powerlaw,nearest,296.0940223221739,36.2,2486.2998275611903,2.5206204112607797,14005.703418020528,7
exponential,True,clean,2,11243,20.8,step,nearest,36.012661273651375,36.2,2887.245111862207,0.7381659355409106,14516.766510661375,6
exponential,True,clean,2,11243,20.8,spline,nearest,,240.60000000000002,2487.744320765483,,13997.539429601578,11
exponential,True,clean,2,11243,20.8,exponential,superposition,28.527759021034033,,1678.5114624228215,1.1775023533112543,13037.038299003809,6
exponential,True,clean,3,11294,20.8,exponential,nearest,64.10895261294897,44.6,2830.859382872619,2.3726056123462484,14493.258841165883,6
exponential,True,clean,3,11294,20.8,gaussian,nearest,34.68653599718184,41.0,2852.748744607842,1.4160596549231577,14521.376055618717,6
exponential,True,clean,3,11294,20.8,powerlaw,nearest,49.93145308189952,71.4,2832.2760612775924,4.679386390075114,14492.510301008042,7
exponential,True,clean,3,11294,20.8,step,nearest,42.06429250594897,42.2,3231.6258835024205,0.6616303818805314,15016.784427465476,6
exponential,True,clean,3,11294,20.8,spline,nearest,,236.70000000000002,2836.3346212246774,,14487.45351028117,11
exponential,True,clean,3,11294,20.8,exponential,superposition,28.527759021034033,,2133.243015047245,1.1489792161763293,13625.11627546458,6
exponential,True,clean,4,11168,20.8,exponential,nearest,45.989675691593106,32.0,2620.2925487950997,2.1009765845908768,14103.514385109422,6
exponential,True,clean,4,11168,20.8,gaussian,nearest,30.512916871977808,36.0,2629.4240588304565,1.3000610143222557,14115.050832867097,6
exponential,True,clean,4,11168,20.8,powerlaw,nearest,278.32415539584844,34.2,2622.7568186631725,2.2443052804092636,14104.100700731407,7
exponential,True,clean,4,11168,20.8,step,nearest,42.06429250594897,42.2,2962.887837857931,0.6406468120241456,14542.865442610557,6
exponential,True,clean,4,11168,20.8,spline,nearest,,241.60000000000002,2627.01619651839,,14099.377448853724,11
exponential,True,clean,4,11168,20.8,exponential,superposition,28.527759021034033,,1921.9250319793769,1.105546840335307,13248.589652865136,6
exponential,True,clean,5,11249,20.8,exponential,nearest,36.63947403275258,25.400000000000002,2407.907195754901,2.068712063183368,13916.70480422304,6
