gene,corr_zonation,detection_rate
Aph1c,-0.0077769593,0.0005909541799455478
Apip,-0.0094270995,0.05849039347699148
Apln,0.0032896448,0.00011959786975088468
Aplnr,0.0033752075,0.00023919573950176935
Aplp2,-0.0129344035,0.3639222473143243
Apmap,-0.008917153,0.08752453515122095
Apoa1,-0.27455083,0.9997819097669248
Apoa4,-0.5774469,0.7902253364569483
Apob,-0.18707618,0.9991346742365083
Apobec1,-0.0020603642,0.058131599867738824
Apobec3,-0.0149343135,0.025819069528573338
App,-0.10468528,0.16322295153472208
Appbp2,-0.0074942787,0.042717545007492454
Appl1,-0.0032533635,0.026030124592839606
Appl2,-0.02064793,0.05205321401687033
Aqp2,-0.0043919343,0.000309547427590525
Aqp3,-0.00059687847,0.0003658287780615296
Aqp4,-0.08219729,0.02221706309842905
Aqp5,-0.00044340896,0.0010552753213313353
Aqp6,-0.0029705546,0.0001618088826041381
Aqp7,0.015014244,0.0008934664387271972
Ar,0.027671702,0.02819695658597328
Araf,0.010308586,0.14336266998726635
Arap1,0.007058533,0.0714421392541314
Arc,-0.0030786593,0.0006753762056520546
Areg,-0.008565574,0.0006894465432698058
Arf2,-0.010596311,0.024250226884194086
Arf6,0.025014637,0.06749540955235221
Arfip2,-0.001786442,0.045348698142011916
Arg1,-0.7554078,0.8310926320677064
Arg2,-0.011453338,0.0015899481508058785
Arhgap17,-0.004994005,0.024925603089846142
Arhgap31,-0.021496164,0.03282609766221341
Arhgap35,-0.019319477,0.17097570756210295
Arhgap44,0.0037157114,0.002300500200502311
Arhgef1,0.0013569704,0.11540490914079483
Arhgef11,-0.005065722,0.0686210365617723
Arhgef12,0.012039768,0.33611926018164806
Arhgef15,-0.020626638,0.04088840111718481
Arhgef28,0.0007712663,0.0013648227489218604
Arhgef3,0.07212422,0.05895471461837727
Arhgef6,-0.026206013,0.011396973470378421
Arhgef7,-0.029945197,0.07341902168942543
Arid1a,-0.016770264,0.0995476386455893
Arid1b,0.03297908,0.06363310187627952
Arid2,0.0060850536,0.06383712177173691
Arid3a,-0.005497913,0.003264318327318264
Arid3b,0.00033088203,0.013387926243290207
Arid5b,0.023475703,0.18960483456800545
Arl13b,0.03335556,0.015287421821686612
Armc12,0.0021103767,0.00012663303855976025
Arnt,-0.0076528047,0.11946420154351603
Arnt2,-0.0023787674,0.00035175844044377843
Arntl,-0.015674504,0.027057259238935438
Arr3,-0.00021189822,0.0001829143890307648
Arrb1,-0.01949515,0.04741703777182134
Arrb2,-0.023852788,0.09036674335000669
Arrdc3,-0.025755595,0.24438769408271951
Arx,0.0004334292,0.00021105506426626706
Asap1,-0.010164645,0.09146422968419127
Asap2,0.026048213,0.012325615753149997
