regime,bin_um,n_cells,sender_curve,decoy_curve,diff_curve,truth
"hard  (kappa=3, ell/lam=4, conf=1)",15.0,537.6666666666666,1.0256628311836655,1.8880476047832393,-0.8623847735995738,0.6065306597126334
"hard  (kappa=3, ell/lam=4, conf=1)",25.0,480.8333333333333,0.7416595003939139,1.7812932167809827,-1.0396337163870688,0.4345982085070782
"hard  (kappa=3, ell/lam=4, conf=1)",35.0,464.0416666666667,0.58236589255836,1.6712972435082651,-1.0889313509499052,0.3114032239145977
"hard  (kappa=3, ell/lam=4, conf=1)",45.0,462.1666666666667,0.42186595609672684,1.543034657888545,-1.1211687017918182,0.22313016014842982
"hard  (kappa=3, ell/lam=4, conf=1)",55.0,461.6666666666667,0.2999637895189929,1.3832170728325968,-1.083253283313604,0.1598797460796939
"hard  (kappa=3, ell/lam=4, conf=1)",65.0,468.625,0.23318456493261902,1.2779310534311181,-1.0447464884984992,0.11455884399268773
"hard  (kappa=3, ell/lam=4, conf=1)",75.0,470.5,0.1836133359503916,1.1518204500264828,-0.9682071140760913,0.0820849986238988
"hard  (kappa=3, ell/lam=4, conf=1)",85.0,470.875,0.13045524447053775,1.0447298016131723,-0.9142745571426345,0.05881647164242988
"hard  (kappa=3, ell/lam=4, conf=1)",95.0,463.5416666666667,0.113638602161418,0.9424094319482769,-0.8287708297868589,0.042143843509276406
"hard  (kappa=3, ell/lam=4, conf=1)",105.0,457.8333333333333,0.06754558128749577,0.8449913238538858,-0.77744574256639,0.0301973834223185
"hard  (kappa=3, ell/lam=4, conf=1)",115.0,449.5833333333333,0.07644221034047585,0.7599896030477633,-0.6835473927072875,0.02163737071949309
"hard  (kappa=3, ell/lam=4, conf=1)",125.0,440.5833333333333,0.04791749950256552,0.6744561289537152,-0.6265386294511497,0.015503853599009314
"hard  (kappa=3, ell/lam=4, conf=1)",135.0,431.5416666666667,0.045286190439458085,0.603684634715183,-0.5583984442757248,0.011108996538242306
"hard  (kappa=3, ell/lam=4, conf=1)",145.0,407.625,0.03776603533805256,0.6649055385767503,-0.6271395032386977,0.00795994384870645
"hard  (kappa=3, ell/lam=4, conf=1)",155.0,386.3333333333333,0.025737472012632878,0.5537109943710157,-0.5279735223583828,0.005703548998007402
"hard  (kappa=3, ell/lam=4, conf=1)",165.0,362.4583333333333,0.06263016398049068,0.5756741038232531,-0.5130439398427624,0.004086771438464067
"hard  (kappa=3, ell/lam=4, conf=1)",175.0,342.5416666666667,0.04659138504373744,0.46741738019730894,-0.4208259951535715,0.0029282996948181888
"hard  (kappa=3, ell/lam=4, conf=1)",185.0,317.375,0.03748128905285922,0.6962072255919804,-0.6587259365391213,0.0020982184180809026
"hard  (kappa=3, ell/lam=4, conf=1)",195.0,293.625,0.0008081145547777641,0.567106266810809,-0.5662981522560312,0.0015034391929775724
"hard  (kappa=3, ell/lam=4, conf=1)",205.0,268.375,0.022472794686387465,0.4767268632243665,-0.45425406853797906,0.0010772612553122203
"hard  (kappa=3, ell/lam=4, conf=1)",215.0,240.0,0.02317738327290378,1.0035371702611167,-0.9803597869882129,0.0007718914190992302
"hard  (kappa=3, ell/lam=4, conf=1)",225.0,216.625,0.007263801152517763,0.8383766464423226,-0.8311128452898048,0.0005530843701478336
"hard  (kappa=3, ell/lam=4, conf=1)",235.0,192.20833333333334,-0.015350852411000912,0.6661052978906485,-0.6814561503016494,0.00039630226859990606
"hard  (kappa=3, ell/lam=4, conf=1)",245.0,178.41666666666666,-0.027970687483954662,0.0523851152617405,-0.08035580274569516,0.00028396298390325663
"hard  (kappa=3, ell/lam=4, conf=1)",255.0,155.41666666666666,-0.004378384849289721,0.1625554893266159,-0.1669338741759056,0.00020346836901064417
