gene,mean_lognorm_expr,bin
Chrm2,0.00063,4
Chrm3,0.003015,6
Chrm4,0.000174,2
Chrm5,5.8e-05,0
Chrna1,4.8e-05,0
Chrna2,0.014731,10
Chrna4,0.004861,7
Chrna6,7.3e-05,1
Chrna7,0.000284,3
Chrnb1,0.005592,8
Chrnb2,0.004067,7
Chrnb3,7.6e-05,1
Chrnb4,7.2e-05,1
Chrnd,4.3e-05,0
Chrng,5.8e-05,0
Chst10,0.00048,4
Chst8,0.001782,6
Chtop,0.056191,15
Chuk,0.138991,18
Ciart,0.006442,8
Cib2,0.012637,10
Cic,0.05552,15
Cidea,0.000396,4
Cideb,0.414482,19
Ciita,0.013312,10
Cisd2,0.086501,17
Cish,0.014984,10
Cit,0.017907,11
Cited1,0.000312,3
Cited2,0.04223,14
Cited4,0.005023,7
Ckb,0.023648,12
Cklf,0.001135,5
Cks1b,0.012214,9
Clca3a2,0.000917,5
Clcn4,0.039348,14
Clcn7,0.054606,15
Clcnka,9.6e-05,1
Clcnkb,5e-05,0
Cldn1,0.033116,13
Cldn10,0.000813,5
Cldn12,0.07307,16
Cldn14,0.004154,7
Cldn16,8.3e-05,1
Cldn17,0.000105,1
Cldn19,2.5e-05,0
Cldn2,0.054414,15
Cldn23,0.000185,3
Cldn4,0.001112,5
Cldn6,0.000628,4
Cldn7,0.00642,8
Cldn8,0.002669,6
Cldn9,9.5e-05,1
Clec10a,0.003182,7
Clec14a,0.116939,18
Clec1b,0.063428,16
Clec4e,0.000549,4
Clec4n,0.009344,9
Clec9a,0.024206,12
Clgn,0.000108,1
Clic3,0.000411,4
Clic4,0.118916,18
Clic5,0.002007,6
Clic6,0.001338,5
Clk1,0.088557,17
Clmp,0.002982,6
Cln3,0.011043,9
Cln6,0.024046,12
Cln8,0.036402,13
Clock,0.037095,13
Clspn,0.002524,6
Cltb,0.042597,14
Cltc,0.241335,19
Cltrn,0.001041,5
Clu,1.278505,19
Cmah,0.046835,14
Cmip,0.115049,18
Cmklr1,0.03444,13
Cmtm6,0.116017,18
Cndp1,2.6e-05,0
Cnga2,0.000121,2
Cngb3,0.000322,3
Cnmd,0.003802,7
Cnn1,0.003072,6
Cnot11,0.00564,8
Cnot2,0.033319,13
Cnot4,0.014803,10
Cnot8,0.025669,12
Cnot9,0.020737,11
Cnp,0.02462,12
Cnppd1,0.133212,18
Cnpy1,0.000207,3
Cnr2,0.033136,13
Cntf,0.006089,8
Cntn1,0.000174,2
Cntn2,7.3e-05,1
Cntn3,0.000168,2
Cntn4,7.2e-05,1
Cntn6,0.000265,3
Cntnap1,0.005674,8
Cntnap3,0.000225,3
Cntnap4,0.000125,2
Cntnap5b,0.000128,2
Cntrob,0.002807,6
Coa7,0.013867,10
Col10a1,7.7e-05,1
Col12a1,0.000561,4
Col13a1,0.055273,15
Col14a1,0.176876,18
Col15a1,0.002616,6
Col18a1,0.611454,19
Col1a1,0.012441,10
Col1a2,0.055326,15
Col23a1,0.003097,7
Col24a1,0.002219,6
Col26a1,5.2e-05,0
Col4a1,0.058894,15
Col4a2,0.047476,14
Col4a3,0.002525,6
Col4a3bp,0.029612,12
Col4a5,0.004561,7
Col5a1,0.021415,11
Col6a1,0.019703,11
Col6a2,0.026701,12
Col6a3,0.036977,13
Col7a1,0.00143,5
Col8a1,0.006532,8
Col9a2,0.000129,2
Col9a3,0.001067,5
Colgalt2,0.001526,5
Colq,0.000591,4
Commd1,0.082928,17
Commd10,0.011437,9
Comt,0.801308,19
Cop1,0.024635,12
Copg1,0.044917,14
Coprs,0.015185,10
Cops2,0.135877,18
Cops5,0.037963,13
Cops8,0.06264,16
Cops9,0.048527,15
Coq8a,0.194577,19
Coro1c,0.087154,17
Coro2b,0.019677,11
Coro6,0.001721,6
Cort,0.000164,2
Cox7a1,0.000115,1
Cox8b,0.000136,2
Cp,1.166318,19
Cpa1,7.7e-05,1
Cpa4,0.000245,3
Cpd,0.125976,18
Cpeb2,0.054421,15
Cpeb4,0.113004,17
Cplx3,0.000178,2
Cpn1,0.376249,19
Cpne4,0.000217,3
Cpox,0.228922,19
Cps1,0.798485,19
Cpsf6,0.085776,17
Cpt1a,0.408279,19
Cpt1c,0.003198,7
Cpt2,0.086754,17
Cptp,0.0252,12
Cr1l,0.034414,13
Cr2,0.000709,4
Crabp1,0.000179,2
Crabp2,0.000513,4
Crb1,8.6e-05,1
Crb2,0.000553,4
Crbn,0.041724,14
Creb1,0.038571,14
Crebbp,0.065143,16
Crebrf,0.077231,16
Creg1,0.110788,17
Creld1,0.034069,13
Crh,0.00015,2
Crhbp,2.3e-05,0
Crhr1,5.7e-05,0
Crhr2,0.000108,1
Crisp1,0.00084,5
Crk,0.111165,17
Crlf2,0.030911,13
Crmp1,0.000194,3
Crocc,0.005283,7
