gene,mean_lognorm_expr,bin
Nrp1,0.15696,18
Nrp2,0.071937,16
Nsf,0.019742,11
Nsmce3,0.002784,6
Nsmf,0.175009,18
Nsun2,0.050822,15
Nt5c1b,0.000159,2
Nt5e,0.02008,11
Ntf3,0.005829,8
Ntf5,0.000291,3
Nthl1,0.006285,8
Ntmt1,0.007782,8
Ntn1,0.058924,15
Ntn4,0.04835,15
Ntng1,0.000122,2
Ntng2,0.047358,14
Ntrk1,0.000795,5
Ntrk2,0.002767,6
Ntrk3,0.001337,5
Nts,0.000322,3
Ntsr1,3.2e-05,0
Ntsr2,0.000202,3
Nuak2,0.024778,12
Nubpl,0.003906,7
Numb,0.046267,14
Nup155,0.012035,9
Nup205,0.009371,9
Nup62,0.017162,10
Nup98,0.027775,12
Nxn,0.009518,9
Nxph2,0.000238,3
Nxph4,0.000287,3
Nyap1,0.001795,6
Nyap2,5.8e-05,0
Oasl2,0.036146,13
Oc90,8.4e-05,1
Oca2,4.4e-05,0
Ocln,0.012389,9
Ocstamp,0.000734,4
Odam,0.000137,2
Odc1,0.103306,17
Odf2,0.024871,12
Odr4,0.044833,14
Ofd1,0.004648,7
Ogdh,0.134013,18
Ogg1,0.006433,8
Ogn,0.009225,9
Ogt,0.073179,16
Olfm3,0.00686,8
Olfr17,5.5e-05,0
Olig1,0.005334,8
Olig2,9.7e-05,1
Olig3,5.1e-05,0
Olr1,0.001015,5
Omp,0.001846,6
Onecut1,0.05499,15
Onecut2,0.148479,18
Onecut3,0.000241,3
Opa1,0.060642,15
Opalin,7.9e-05,1
Opn1mw,8.3e-05,1
Opn1sw,0.0002,3
Opn3,0.000927,5
Opn4,0.000192,3
Oprd1,0.000722,4
Oprk1,8e-05,1
Oprl1,0.000122,2
Oprm1,6.3e-05,0
Orai1,0.006152,8
Orc1,0.000461,4
Orm1,0.484254,19
Osgep,0.027351,12
Osm,0.000566,4
Osmr,0.042447,14
Osr1,0.00109,5
Osr2,0.000202,3
Otc,0.297776,19
Otof,0.000307,3
Otp,9.8e-05,1
Otud5,0.097772,17
Otud7b,0.033512,13
Otx1,5.6e-05,0
Otx2,0.000138,2
Ovol1,0.000179,2
Oxt,0.000182,2
Oxtr,0.000158,2
P2rx3,0.001974,6
P2rx4,0.072352,16
P2rx7,0.023724,12
P2ry1,0.011539,9
P2ry13,0.013481,10
P2ry2,0.012467,10
P3h1,0.014432,10
P3h3,0.020299,11
P4hb,1.013584,19
Pa2g4,0.063839,16
Pacsin3,0.067561,16
Padi2,0.002192,6
Padi4,0.001819,6
Padi6,6.3e-05,0
Pafah1b1,0.042123,14
Pafah1b2,0.039555,14
Pafah1b3,0.009533,9
Pah,0.697042,19
Paip1,0.231442,19
Pak1,0.016091,10
Pak2,0.079175,16
Pak3,0.000303,3
Pakap,0.033367,13
Pald1,0.010398,9
Palmd,0.061175,15
Panx1,0.003621,7
Panx2,0.000517,4
Panx3,0.000155,2
Pard3,0.170242,18
Pard6a,0.004187,7
Pard6b,0.01341,10
Park7,0.179346,18
Parp1,0.029674,12
Parp2,0.014007,10
Parpbp,0.000556,4
Parva,0.059329,15
Parvb,0.037138,13
Patj,0.007466,8
Patz1,0.017309,10
Pawr,0.006288,8
Pax1,0.000507,4
Pax2,0.000253,3
Pax3,5.4e-05,0
Pax4,5.7e-05,0
Pax5,0.001832,6
Pax6,0.000134,2
Pax7,0.000101,1
Pax8,0.000477,4
Pax9,0.000147,2
Paxbp1,0.045992,14
Paxip1,0.027182,12
Pbrm1,0.073454,16
Pbx2,0.052955,15
Pbx3,0.011979,9
Pcbp3,0.003048,6
Pcdh10,9.1e-05,1
Pcdh11x,0.002593,6
Pcdh20,0.000291,3
Pcdh8,0.000198,3
Pcdha2,3.8e-05,0
Pcdha7,9.8e-05,1
Pcgf1,0.004235,7
Pcgf2,0.020944,11
Pcif1,0.012466,10
Pclaf,0.00118,5
Pcm1,0.035272,13
Pcmtd2,0.040991,14
Pcna,0.018959,11
Pcnt,0.031766,13
Pcp2,0.000211,3
Pcp4,0.001245,5
Pcsk1,0.000326,3
Pcsk4,0.022831,11
Pcsk6,0.164526,18
Pcsk9,0.025648,12
Pcx,0.399323,19
Pdap1,0.088489,17
Pdc,4.6e-05,0
Pdcd1,0.000273,3
Pdcd1lg2,0.001136,5
Pdcd4,0.123823,18
Pde10a,0.006544,8
Pde12,0.005846,8
Pde1b,0.006438,8
Pde1c,0.003897,7
Pde3b,0.082886,17
Pde4c,0.011533,9
Pde6b,5.4e-05,0
Pde6c,0.00053,4
Pde6g,0.000985,5
Pde7b,0.023699,12
Pde8a,0.090183,17
Pde8b,0.009711,9
Pdgfa,0.011807,9
Pdgfb,0.009491,9
Pdgfra,0.019129,11
Pdgfrb,0.050759,15
Pdia3,0.508904,19
Pdk1,0.076022,16
Pdk4,0.035508,13
Pdlim1,0.001439,5
Pdlim4,0.005264,7
Pdpk1,0.044369,14
Pdpn,0.001592,5
Pdx1,4.4e-05,0
Pdxk,0.053344,15
Pdyn,8.8e-05,1
Pdzd7,0.000826,5
Pdzk1,0.086874,17
Pdzrn3,0.009158,9
Pecam1,0.100492,17
Peg10,0.003442,7
Peg3,0.008509,8
Per1,0.088753,17
Per2,0.071743,16
Per3,0.022262,11
Pex3,0.030113,13
Pfas,0.00719,8
Pfkfb1,0.050631,15
Pfkfb2,0.031542,13
Pfkl,0.060549,15
Pfkp,0.014453,10
Pfn4,0.0006,4
Pgam5,0.037194,13
Pgc,0.000125,2
Pgf,0.000929,5
Pgk1,0.387326,19
Pgk2,8.2e-05,1
Pgpep1,0.026388,12
Pgr,9.8e-05,1
Phb,0.046765,14
Phb2,0.253598,19
Phc1,0.007503,8
Phc2,0.046513,14
Phex,0.000196,3
Phf10,0.069044,16
Phf3,0.015695,10
Phf6,0.013829,10
Phlda2,0.00041,4
Phox2a,4.6e-05,0
Phox2b,0.000158,2
Phtf1,0.018696,11
Phykpl,0.01221,9
Pi4ka,0.069977,16
Pianp,0.002973,6
Pias1,0.027797,12
Pias2,0.095871,17
Pias3,0.009951,9
Picalm,0.217362,19
Pick1,0.022709,11
Piezo1,0.013929,10
Piezo2,0.0088,9
Pifo,0.000102,1
Pigr,1.410949,19
Pik3c3,0.032407,13
Pik3ca,0.012464,10
Pik3cb,0.026962,12
Pik3cd,0.021862,11
Pik3cg,0.008154,8
Pik3r1,0.197813,19
Pik3r2,0.049285,15
Pim1,0.003142,7
Pim2,0.012463,10
Pin1,0.001232,5
Pink1,0.356565,19
Pinlyp,0.000145,2
Pip,0.008606,9
Pip4k2c,0.031537,13
Pip4p1,0.053682,15
Pip5k1c,0.065003,16
Pirb,0.03369,13
Pisd,0.029324,12
Pithd1,0.015888,10
Pitpnm1,0.027568,12
Pitrm1,0.04426,14
Pitx1,0.000227,3
Pitx2,0.000472,4
Piwil1,3.8e-05,0
Piwil2,0.000251,3
Piwil4,0.000189,3
Pja1,0.037483,13
Pja2,0.044338,14
Pkd1,0.05139,15
Pkd2,0.056852,15
Pkd2l1,5.6e-05,0
Pkhd1,0.022813,11
Pkia,0.003747,7
Pkib,0.007525,8
Pkig,0.034691,13
Pklr,0.323461,19
Pkm,0.070949,16
Pkn1,0.061026,15
Pknox2,0.005327,8
Pkp4,0.14339,18
Pla2g10,0.000147,2
Pla2g2e,4.7e-05,0
Pla2g2f,3.3e-05,0
Pla2g4a,0.007459,8
Pla2g6,0.030075,13
Pla2r1,0.045729,14
Plaat1,0.000168,2
Plac9a,0.002071,6
Plagl1,0.003919,7
Plagl2,0.017304,10
Plau,0.014774,10
Plaur,0.006497,8
Plcb2,0.009895,9
Plcb4,0.019322,11
Plcg1,0.058127,15
Plcg2,0.010394,9
Pld1,0.018439,11
Pld2,0.012552,10
Pld5,0.000239,3
Plec,0.120712,18
Plekha1,0.035011,13
Plekha2,0.030233,13
Plekha5,0.033025,13
Plekhg2,0.035719,13
Plekhg4,0.000275,3
Plg,1.327223,19
Plgrkt,0.011511,9
Plin1,0.000305,3
Plin2,0.363509,19
Plin5,0.041735,14
Plk1,0.001269,5
Plk2,0.070204,16
Plk3,0.121076,18
Plk4,0.001572,5
Pln,0.000713,4
Plod1,0.102209,17
Plod2,0.010454,9
Plod3,0.046742,14
Plp2,0.007414,8
Plpp3,0.379444,19
Plppr3,0.003411,7
Plppr4,0.000193,3
Pls1,0.00213,6
Pltp,0.566784,19
Plvap,0.131459,18
Plxdc2,0.005979,8
Plxna1,0.013797,10
Plxna2,0.017821,11
Plxna3,0.00227,6
Plxna4,0.015249,10
Plxnb2,0.194584,19
Plxnc1,0.111078,17
Plxnd1,0.079007,16
Pmaip1,0.005812,8
Pmch,3.9e-05,0
Pml,0.052569,15
Pmm2,0.01779,11
Pms1,0.00781,8
Pms2,0.000311,3
Pnkd,0.025309,12
Pnoc,9.3e-05,1
Pnpla1,8.8e-05,1
Pnpla2,0.165956,18
Pnpla3,0.007899,8
Podxl,0.065759,16
Polb,0.026358,12
Polg,0.077593,16
Polk,0.010909,9
Polr1e,0.00737,8
Polr2a,0.110494,17
Polr2b,0.025759,12
Polr2e,0.041095,14
Polr2f,0.04464,14
Polr2h,0.016771,10
Polr2j,0.030117,13
Polr3e,0.009106,9
Pom121,0.027068,12
Pomc,0.000977,5
Pon1,0.488319,19
Pon3,0.082527,17
Por,0.296081,19
Postn,0.031381,13
Pou1f1,0.000137,2
Pou2af1,0.001517,5
Pou2f1,0.01259,10
Pou2f3,0.000343,4
Pou3f1,0.000166,2
Pou3f2,0.000134,2
Pou3f3,0.00029,3
Pou3f4,4.3e-05,0
Pou4f1,0.000239,3
Pou4f2,0.000135,2
Pou4f3,0.000414,4
Pou5f1,0.000168,2
Pou6f1,0.024547,12
Pou6f2,0.000116,1
Ppara,0.16703,18
Pparg,0.021539,11
Ppargc1a,0.011974,9
Ppargc1b,0.013583,10
Ppfibp1,0.053046,15
Ppif,0.066773,16
Ppl,0.011776,9
Ppm1d,0.003202,7
Ppm1h,0.023445,11
Ppp1cc,0.107837,17
Ppp1r10,0.10247,17
Ppp1r16b,0.052938,15
Ppp1r1b,0.031755,13
Ppp1r1c,0.00021,3
Ppp1r2,0.074438,16
Ppp1r3a,0.000466,4
Ppp1r7,0.021916,11
Ppp2ca,0.156752,18
Ppp2r1a,0.056206,15
Ppp2r1b,0.009352,9
Ppp2r2a,0.007943,8
Ppp2r2b,0.00195,6
Ppp2r5c,0.227058,19
Ppp3cb,0.064483,16
Ppp3r1,0.064638,16
Ppp3r2,8.5e-05,1
Ppp4r3a,0.078547,16
Ppp5c,0.066962,16
Ppp6c,0.086048,17
Ppp6r3,0.063956,16
Ppt1,0.09953,17
Praf2,0.012515,10
Prap1,0.000236,3
Prdm1,0.002717,6
Prdm13,0.000153,2
Prdm14,5.5e-05,0
Prdm16,0.001375,5
Prdm9,0.00573,8
Preb,0.130299,18
Prelp,0.203161,19
Prep,0.061227,15
Prf1,0.000944,5
Prickle3,0.00735,8
Primpol,0.004903,7
Prkaa1,0.042424,14
Prkaa2,0.090808,17
Prkab1,0.055574,15
Prkaca,0.130955,18
Prkacb,0.053521,15
Prkar1a,0.201135,19
Prkar2b,0.005521,8
Prkca,0.004526,7
Prkcd,0.052238,15
Prkce,0.069953,16
Prkcg,0.00153,5
Prkci,0.021214,11
Prkcq,0.015692,10
Prkcz,0.011638,9
Prkd1,0.001332,5
Prkd3,0.190718,18
Prkdc,0.005302,7
Prkg2,0.000601,4
Prkn,0.004965,7
Prl,6.1e-05,0
Prl2c2,0.000261,3
Prl3a1,9.7e-05,1
Prl3b1,1.2e-05,0
Prl3c1,0.000138,2
Prl3d1,0.000352,4
Prl7a1,0.000164,2
Prl8a1,0.000205,3
Prl8a2,0.000151,2
Prl8a6,0.000338,4
Prm1,7e-05,0
Prmt1,0.001705,6
Prmt3,0.023922,12
Prmt5,0.017659,11
Prmt7,0.010708,9
Prodh,0.075126,16
Prok1,0.001412,5
Prokr2,0.000167,2
Prom1,0.011526,9
Prom2,0.00044,4
Prop1,6.8e-05,0
Prorp,0.007402,8
Prox1,0.108695,17
Prpf19,0.071353,16
Prpf3,0.012408,9
Prpf31,0.011997,9
Prpf4b,0.066595,16
Prpf8,0.128936,18
Prph,0.0004,4
Prph2,2.5e-05,0
Prps1,0.015132,10
Prpsap2,0.018373,11
Prr5,0.01213,9
Prrc2b,0.090243,17
Prrx1,0.00363,7
Prrxl1,0.000222,3
Prss1,0.000123,2
Prss21,5e-05,0
Prss41,0.000223,3
Prss42,4.6e-05,0
Prss50,0.000134,2
Prune1,0.009497,9
Psat1,0.001352,5
Psd2,0.00017,2
Psen1,0.070238,16
Psen2,0.173995,18
Psma4,0.11368,18
Psmb11,6.6e-05,0
Psmb6,0.140963,18
Psmb9,0.000746,5
Psmc2,0.061295,15
Psmd1,0.072451,16
Psmd10,0.00832,8
Psmd11,0.027943,12
Psmd12,0.076114,16
Psmd13,0.06178,16
Psmd14,0.044857,14
Psmd3,0.072633,16
Psmd5,0.021971,11
Psmd6,0.056577,15
Psmd9,0.078781,16
Ptafr,0.004099,7
Ptar1,0.023041,11
Ptbp1,0.126627,18
Ptch1,0.042087,14
Ptch2,0.002639,6
Ptchd1,0.000241,3
Pten,0.313337,19
Ptf1a,0.000135,2
Ptgdr,5.6e-05,0
Ptger1,0.000793,5
Ptger2,0.005475,8
Ptger3,0.00035,4
Ptger4,0.002745,6
Ptges,0.001639,5
Ptgfr,0.001149,5
Ptgir,0.001734,6
Ptgr1,0.010427,9
Ptgs1,0.080411,17
Ptgs2,0.002764,6
Pth,0.000114,1
Pth1r,0.060081,15
Pth2r,0.000145,2
Pthlh,0.000371,4
Ptk2,0.057851,15
Ptk2b,0.033163,13
Ptk6,0.00012,2
Ptp4a1,0.345195,19
Ptpa,0.075582,16
Ptpn1,0.040438,14
Ptpn11,0.076454,16
Ptpn2,0.017526,11
Ptpn22,0.003543,7
Ptpn23,0.023697,12
Ptpn5,0.000212,3
Ptpn6,0.01918,11
Ptpra,0.034115,13
Ptprc,0.043247,14
Ptprf,0.03922,14
Ptprk,0.154594,18
Ptprn2,0.000374,4
Ptprq,0.00022,3
Ptpru,0.00829,8
Ptprz1,0.000544,4
Pttg1,0.04673,14
Ptx3,0.000256,3
Pvalb,0.000245,3
Pvr,0.037038,13
Pwp1,0.009902,9
Pxn,0.01932,11
Pycard,0.003021,6
Pycrl,0.025357,12
Pygb,0.018339,11
Pygl,0.360392,19
Pyroxd1,0.009764,9
Pzp,1.855097,19
Qrfpr,0.00041,4
Qsox1,0.231792,19
Rab10,0.140944,18
Rab11a,0.024592,12
Rab11fip1,0.031453,13
Rab1a,0.116006,18
Rab20,0.016348,10
Rab21,0.061446,16
Rab23,0.008134,8
Rab24,0.03184,13
Rab27a,0.015004,10
Rab27b,0.008391,8
Rab28,0.045115,14
Rab29,0.031925,13
Rab32,0.079261,16
Rab38,0.001199,5
Rab39,0.006952,8
Rab3a,0.017078,10
Rab3b,0.000328,3
Rab3d,0.017515,11
Rab3gap2,0.027017,12
Rab43,0.208453,19
Rab4b,0.019308,11
Rab5a,0.15759,18
Rab5b,0.178497,18
Rab5c,0.28388,19
Rab6a,0.151715,18
Rab7,0.433403,19
Rab7b,0.005919,8
Rab8a,0.076268,16
Rab8b,0.017371,10
Rabep1,0.107042,17
Rabep2,0.008513,8
Rac1,0.282264,19
Racgap1,0.00294,6
Rack1,0.024532,12
Rad21l,0.000336,3
Rad23b,0.283662,19
Rad50,0.0071,8
Rad51,0.001418,5
Rad51b,0.026248,12
Rad51d,0.020803,11
Rad54l,0.001222,5
Rad9a,0.014882,10
Rae1,0.024,12
Raf1,0.215064,19
Rag1,0.000149,2
Rag2,0.000342,4
Rai14,0.032636,13
Rala,0.05663,15
Ramp3,0.002811,6
Ranbp1,0.029131,12
Ranbp2,0.05246,15
Rangap1,0.046156,14
Rap1a,0.130322,18
Rap1gap,0.026089,12
Rapgef1,0.088715,17
Rapgef3,0.022061,11
Rapsn,0.000486,4
Rara,0.092846,17
Rarb,0.015691,10
Rarg,0.029957,13
Rasd1,0.00497,7
Rasgrf1,0.000503,4
Rassf5,0.021187,11
Rax,6.3e-05,0
Rb1,0.043339,14
Rb1cc1,0.024253,12
Rbbp4,0.185069,18
Rbbp7,0.054539,15
Rbck1,0.063256,16
Rbfox2,0.019637,11
Rbfox3,0.007786,8
Rbl1,0.003642,7
Rbl2,0.019138,11
Rbm8a,0.01562,10
Rbms1,0.091765,17
Rbp1,0.083473,17
Rbp3,4.9e-05,0
Rbpj,0.032817,13
Rbpjl,5.9e-05,0
Rcan1,0.036717,13
Rcc2,0.029148,12
Rcn2,0.012955,10
Rcor1,0.039666,14
Rcor2,0.001049,5
Rdx,0.23359,19
Rec114,0.007118,8
Rec8,0.00579,8
Reg1,9.8e-05,1
Reg3b,0.000241,3
Rel,0.019412,11
Rela,0.045232,14
Relb,0.017847,11
Reln,0.135077,18
Ren1,0.013901,10
Rergl,0.002815,6
Rest,0.026032,12
Ret,0.000225,3
Retn,9.1e-05,1
Retreg3,0.090602,17
Rev1,0.03727,13
Rflna,0.000777,5
Rfx2,0.002486,6
Rfx3,0.005816,8
Rfx4,0.001157,5
Rfx5,0.006256,8
Rfx6,8.8e-05,1
Rgcc,0.000987,5
Rgmb,0.016728,10
Rgr,0.000111,1
Rgs18,0.002704,6
Rgs3,0.04985,15
Rgs5,0.294076,19
Rgs6,0.001912,6
Rgs9,0.004883,7
Rhbdf2,0.018954,11
Rhbdl3,0.001369,5
Rheb,0.05599,15
Rho,0.000153,2
Rhoa,0.255348,19
Rhoc,0.063707,16
Rhod,0.068941,16
Rhog,0.044645,14
Rhoj,0.029229,12
Rhot2,0.062223,16
Rhox13,0.000121,2
Rhox5,0.000221,3
Rhpn1,0.000232,3
Rhpn2,0.008019,8
Ric8a,0.033095,13
Ric8b,0.03505,13
Rictor,0.025327,12
Rif1,0.017231,10
Rims2,0.000557,4
Ring1,0.028716,12
Riok3,0.1781,18
Riox1,0.009474,9
Riox2,0.008,8
Ripk1,0.03125,13
Ripk2,0.017853,11
Ripk3,0.006727,8
Rita1,0.004016,7
Rlim,0.049273,15
Rln1,0.00024,3
Rln3,0.000146,2
Rmdn3,0.07852,16
Rnase1,0.002393,6
Rnaseh2b,0.016357,10
Rnaset2a,0.520761,19
Rnd2,0.024522,12
Rnf10,0.313153,19
Rnf13,0.226483,19
Rnf130,0.114084,18
Rnf14,0.118993,18
Rnf144a,0.026769,12
Rnf19a,0.036356,13
Rnf2,0.023684,12
Rnf20,0.013814,10
Rnf219,0.004453,7
Rnf220,0.037262,13
Rnf31,0.017769,11
Rnh1,0.129767,18
Robo1,0.021743,11
Robo2,0.012076,9
Robo3,0.000261,3
Rock1,0.063915,16
Rock2,0.096862,17
Ror1,0.004553,7
Ror2,0.000523,4
Rora,0.078419,16
Rorb,0.000116,1
Rorc,0.13756,18
Ros1,7.6e-05,1
Rp1l1,5.9e-05,0
Rp2,0.028281,12
Rpa1,0.025539,12
Rpe65,6.1e-05,0
Rph3a,0.0001,1
Rph3al,0.016223,10
Rpl11,0.01232,9
Rpn1,0.12888,18
Rprml,6.8e-05,0
Rptor,0.042375,14
Rragd,0.017816,11
Rras2,0.030263,13
Rsad1,0.013977,10
Rsbn1,0.024235,12
Rsf1,0.04938,15
Rsph1,0.000444,4
Rsph10b,0.000604,4
Rsph9,0.002087,6
Rspo1,0.00173,6
Rspo2,0.000343,4
Rspo3,0.052784,15
Rsrp1,0.446485,19
Rtbdn,0.00012,2
Rtcb,0.043105,14
Rtf1,0.031962,13
Rtkn2,0.000223,3
Rtn2,0.002071,6
Rtn3,0.194016,19
Rtn4,0.118613,18
Rtn4r,0.000112,1
Rubcn,0.035443,13
Rundc1,0.013706,10
Runx1,0.011635,9
Runx2,0.005569,8
Runx3,0.004789,7
Ruvbl1,0.033341,13
Ruvbl2,0.024275,12
Rxfp1,0.000111,1
Rxfp2,5.8e-05,0
Rxfp3,0.00016,2
Rxra,0.568873,19
Rxrb,0.0574,15
Rxrg,0.005117,7
Rybp,0.041777,14
Ryk,0.090832,17
Ryr1,0.000612,4
Ryr2,0.000138,2
Ryr3,0.000102,1
S100a1,0.123334,18
S100b,0.000285,3
S1pr1,0.083036,17
S1pr2,0.017426,11
S1pr3,0.013907,10
S1pr5,0.005455,8
Saa1,0.146094,18
Saa2,0.051433,15
Saa4,0.406805,19
Sacm1l,0.047905,14
Sag,0.000797,5
Sall1,0.053442,15
Sall3,0.000185,2
Sall4,5.1e-05,0
Samd11,0.000626,4
Samd14,0.00384,7
Samd8,0.046697,14
Samhd1,0.071835,16
Sap130,0.045618,14
Sap18,0.036569,13
Saraf,0.177224,18
Sardh,0.53571,19
Sarm1,0.001017,5
Sart3,0.017531,11
Sass6,0.004451,7
Satb2,0.001363,5
Saysd1,0.005654,8
Scamp4,0.035915,13
Scarb1,0.074704,16
Scarb2,0.349786,19
Scel,0.000273,3
Scgb1b27,0.000276,3
Scimp,0.004662,7
Scin,0.000285,3
Scmh1,0.012947,10
Scn10a,0.000231,3
Scn1a,5.1e-05,0
Scn2a,0.000246,3
Scn3b,0.000486,4
Scn4a,0.000218,3
Scn4b,0.000934,5
Scn5a,0.000159,2
Scn8a,0.000338,4
Scn9a,0.000154,2
Scnn1a,0.02326,11
Scnn1b,0.000185,3
Scnn1g,0.00011,1
Scrib,0.045927,14
Scrt1,8.8e-05,1
Scrt2,4.2e-05,0
Sct,0.000312,3
Scx,0.001769,6
Sdc1,0.25259,19
Sdc2,0.141181,18
Sdcbp,0.13751,18
Sdccag8,0.037237,13
Sdha,0.327679,19
Sdhb,0.428327,19
Sdhc,0.329593,19
Sdk1,0.000366,4
Sdk2,0.003441,7
Sdr16c5,8.4e-05,1
Sec1,0.000114,1
Sec22b,0.090937,17
Sec23a,0.071588,16
Sec24c,0.08863,17
Sec61a1,0.157193,18
Sel1l,0.157829,18
Sele,0.000513,4
Selenof,0.122684,18
Selenoh,0.00672,8
Selenoi,0.019956,11
Selenok,0.001101,5
Selenon,0.015169,10
Selenoo,0.10673,17
Selenos,0.048686,15
Selenov,0.000121,2
Sell,0.008391,8
Selp,0.006903,8
Selplg,0.021423,11
Sema3a,0.003452,7
Sema3b,0.002422,6
Sema3c,0.005129,7
Sema3d,0.023888,12
Sema3e,0.000263,3
Sema3f,0.048603,15
Sema4a,0.039753,14
Sema4d,0.013442,10
Sema4g,0.306293,19
Sema5a,0.005571,8
Sema5b,0.00528,7
Sema6a,0.096527,17
Sema6c,0.012617,10
Sema6d,0.073511,16
Senp3,0.02504,12
Sept10,0.01974,11
Sept11,0.06442,16
Sept2,0.121494,18
Sept3,0.000226,3
Sept4,0.077729,16
Sept5,0.00476,7
Sept6,0.010794,9
Sept7,0.048995,15
Sept8,0.039348,14
Sept9,0.08294,17
Serpina3a,0.00017,2
Serpina3n,0.646566,19
Serpina5,0.000536,4
Serpinb13,0.000104,1
Serpinb3b,0.000438,4
Serpinb5,0.000235,3
Serpinc1,1.409719,19
Serpine1,0.002182,6
Serpine2,0.024494,12
Serpinf2,0.421407,19
Serpini1,0.002741,6
Sertad1,0.003943,7
Sesn1,0.02199,11
Sesn2,0.038689,14
Set,0.035162,13
Setbp1,0.009395,9
Setd1a,0.067275,16
Setd1b,0.114934,18
Setd5,0.05533,15
Setd6,0.031828,13
Setdb1,0.017078,10
Setx,0.021139,11
Sez6,0.000128,2
Sez6l2,0.001416,5
Sf1,0.195948,19
Sf3a1,0.039244,14
Sf3b6,0.033458,13
Sfpq,0.163622,18
Sfrp1,0.008083,8
Sfrp2,0.000156,2
Sfrp4,0.00065,4
Sfxn1,0.128263,18
Sfxn3,0.016762,10
Sgca,0.000388,4
Sgcd,0.002805,6
Sgms2,0.065986,16
Sgo1,0.001082,5
Sgo2a,0.000986,5
Sgpl1,0.026751,12
Sgsh,0.011629,9
Sgta,0.0819,17
Sh2d1a,0.001325,5
Sh3bp1,0.033135,13
Sh3bp2,0.031496,13
Sh3bp5,0.12938,18
Sh3gl1,0.033379,13
Sh3gl2,0.000457,4
Sh3gl3,9.2e-05,1
Sh3rf2,0.000398,4
Sh3tc2,0.004264,7
Shank3,0.036655,13
Sharpin,0.057441,15
Shc1,0.060071,15
Shcbp1l,0.000165,2
She,0.047556,14
Shh,0.000411,4
Shisa3,0.001937,6
Shld1,0.003408,7
Shmt1,0.170775,18
Shoc2,0.067699,16
Shox2,0.000129,2
Shroom3,0.021794,11
Shtn1,0.040734,14
Siah2,0.058583,15
Sidt1,0.000837,5
Sidt2,0.04816,15
Siglec1,0.039866,14
Sigmar1,0.079711,16
Sim1,0.000268,3
Sin3a,0.042525,14
Sin3b,0.019455,11
Sinhcaf,0.006283,8
Sirpa,0.080868,17
Sirt1,0.021328,11
Sirt2,0.12176,18
Sirt3,0.097247,17
Sirt4,0.012354,9
Sirt5,0.017114,10
Sirt6,0.008223,8
Sirt7,0.066962,16
Six1,0.000473,4
Six2,9.1e-05,1
Six3,7.6e-05,1
Six6,0.000229,3
Ska1,0.000358,4
Ska2,0.013034,10
Skp1a,0.117673,18
Skp2,0.004378,7
Slamf6,0.002514,6
Slamf9,0.00473,7
Slc11a1,0.052836,15
Slc11a2,0.015052,10
Slc12a2,0.013117,10
Slc12a5,0.004869,7
Slc12a7,0.06116,15
Slc13a4,0.000183,2
Slc14a1,0.001669,6
Slc15a1,0.000122,2
Slc16a1,0.059563,15
Slc16a2,0.089339,17
Slc16a3,0.004996,7
Slc16a8,5e-05,0
Slc17a2,0.162694,18
Slc17a6,7.9e-05,1
Slc17a7,9.9e-05,1
Slc17a8,0.036033,13
Slc18a2,0.003561,7
Slc18a3,4.4e-05,0
Slc19a1,0.010827,9
Slc19a2,0.121211,18
Slc19a3,0.000153,2
Slc1a1,0.000231,3
Slc1a3,0.001368,5
Slc20a2,0.076927,16
Slc22a18,0.036128,13
Slc22a2,0.000111,1
Slc22a5,0.052962,15
Slc22a6,7e-05,0
Slc22a8,6.1e-05,0
Slc24a3,0.00379,7
Slc24a4,5e-05,0
Slc25a17,0.037504,13
Slc25a20,0.339459,19
Slc25a22,0.130327,18
Slc25a28,0.058223,15
Slc25a31,0.000581,4
Slc25a51,0.036808,13
Slc26a3,0.000168,2
Slc26a4,0.001215,5
Slc26a5,0.000337,4
Slc2a1,0.011368,9
Slc2a2,0.29445,19
Slc2a3,0.008376,8
Slc2a4,0.002065,6
Slc2a5,0.00737,8
Slc30a10,0.026713,12
Slc30a3,0.001628,5
Slc30a8,0.000236,3
Slc31a1,0.050857,15
Slc32a1,8.5e-05,1
Slc39a5,0.001539,5
Slc39a8,0.017337,10
Slc3a1,0.037492,13
Slc40a1,0.268644,19
Slc44a5,0.000119,2
Slc45a1,6.2e-05,0
Slc45a2,0.000154,2
Slc47a1,0.14983,18
Slc4a1,0.025934,12
Slc4a10,0.000146,2
Slc4a7,0.017929,11
Slc4a9,0.000386,4
Slc52a3,0.005085,7
Slc5a12,0.000122,2
Slc5a2,9.8e-05,1
Slc5a7,9.3e-05,1
Slc6a11,0.0001,1
Slc6a14,0.0002,3
Slc6a19,0.000138,2
Slc6a3,7.5e-05,1
Slc6a4,0.000742,5
Slc6a5,8.7e-05,1
Slc6a8,0.017952,11
Slc6a9,0.040401,14
Slc7a10,0.000102,1
Slc8a1,0.02207,11
Slc8a3,0.000536,4
Slc8b1,0.092967,17
Slc9a1,0.021242,11
Slc9a3,4.4e-05,0
Slc9a3r1,0.183211,18
Slc9a4,2.5e-05,0
Slc9a8,0.031051,13
Slc9a9,0.071113,16
Slco1a1,0.253486,19
Slco3a1,0.031631,13
Slco4c1,0.000478,4
Slit1,0.002569,6
Slit2,0.000874,5
Slit3,0.002322,6
Slitrk1,8.5e-05,1
Slitrk3,6.8e-05,0
Slk,0.091209,17
