cell_type,gene,n_pmid,n_labels_claiming,kept,tierB_member,scope,pmids
Smooth muscle / capsule,NOTCH3,4,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),31928944.0;32981416.0;32988401.0;35258704.0
Smooth muscle / capsule,PLN,3,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),31320652.0;32832599.0;33397933.0
Pericytes,ABCC9,2,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),32961131.0;35084939.0
Pericytes,ANPEP,3,2,yes,yes,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),24158496.0;32586411.0;33308315.0
Pericytes,CD248,2,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),32961131.0;33308315.0
Pericytes,CD34,3,4,no_promiscuous,no,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),;21572381.0;25177794.0
Pericytes,CD44,2,2,yes,yes,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),24158496.0;32509378.0
Pericytes,CSPG4,16,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),22370001.0;24158496.0;24401806.0;25336400.0;25360079.0;27547374.0;28376684.0;32040933.0;32918942.0;32961131.0;33017217.0;33208946.0;33332768.0;33597545.0;33780024.0;34793438.0
Pericytes,KCNJ8,3,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),32961131.0;35084939.0;35154475.0
Pericytes,MCAM,19,2,yes,no,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),;21572381.0;23244588.0;24158496.0;25177794.0;25336400.0;27547374.0;28376684.0;32488016.0;32504559.0;32580941.0;33413690.0;33597545.0;33780024.0;33950524.0;34400611.0;34489433.0;34611125.0;35320046.0
Pericytes,NT5E,2,1,yes,yes,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),24158496.0;32509378.0
Pericytes,PDGFRB,15,2,yes,yes,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),30747918.0;31935371.0;32060101.0;32832599.0;32961131.0;32976581.0;33017217.0;33208946.0;33238152.0;33597545.0;33975634.0;34281603.0;34282151.0;34322886.0;34390642.0
Pericytes,PECAM1,2,4,no_promiscuous,yes,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),;21572381.0
Pericytes,RGS5,17,2,yes,no,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),31010835.0;31712411.0;32060101.0;32832599.0;32961131.0;33238152.0;33258803.0;33303760.0;33332768.0;33413690.0;33723434.0;33950524.0;33975634.0;34489433.0;34745098.0;35304249.0;35464471.0
Pericytes,SMN1,2,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),24401806.0;33413690.0
Pericytes,THY1,4,1,yes,yes,ALL-TISSUE FALLBACK >=2 PMID (0 spleen rows),24158496.0;24401806.0;32509378.0;33017217.0
Fibroblasts,COL11A1,1,2,yes,yes,spleen-only (13 rows),31610266.0
Fibroblasts,COL4A1,1,1,yes,yes,spleen-only (13 rows),34872616.0
Fibroblasts,CXCL13,1,1,yes,yes,spleen-only (13 rows),34872616.0
Fibroblasts,IGFBP2,1,1,yes,yes,spleen-only (13 rows),34872616.0
Fibroblasts,PTGDS,1,1,yes,no,spleen-only (13 rows),34872616.0
Erythroid cells,GYPA,15,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (10 spleen rows),;24511371.0;25870831.0;28614297.0;31601799.0;31964880.0;32470390.0;32614947.0;33242413.0;33352111.0;33597545.0;33728669.0;34516827.0;34811504.0;35048186.0
Erythroid cells,HBG1,5,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (10 spleen rows),28830992.0;32470390.0;32961131.0;33352111.0;33597545.0
Erythroid cells,SLC4A1,2,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (10 spleen rows),32470390.0;34872616.0
Erythroid cells,SPI1,2,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (10 spleen rows),;34691592.0
Erythroid cells,TFRC,11,2,yes,yes,ALL-TISSUE FALLBACK >=2 PMID (10 spleen rows),;14634974.0;25870831.0;31070582.0;32690901.0;32939086.0;33242413.0;34021930.0;34083792.0;34516827.0;34921133.0
Megakaryocytes,CAVIN2,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),32351704.0
Megakaryocytes,CCL5,1,2,yes,yes,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),32554932.0
Megakaryocytes,CD14,1,4,no_promiscuous,yes,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),26541609.0
Megakaryocytes,CD33,1,3,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),26541609.0
Megakaryocytes,CD34,1,4,no_promiscuous,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),25532425.0
Megakaryocytes,CD79A,1,3,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),33363531.0
Megakaryocytes,CPA3,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),33783985.0
Megakaryocytes,FLI1,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),33352111.0
Megakaryocytes,FUT4,1,2,yes,yes,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),26541609.0
Megakaryocytes,GP1BA,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),33340451.0
Megakaryocytes,GP5,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),
Megakaryocytes,IL3RA,1,2,yes,yes,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),
Megakaryocytes,ITGA2B,17,2,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),;18436865.0;23508472.0;24879588.0;30093597.0;30643249.0;31048353.0;31178255.0;31395745.0;32351704.0;32614947.0;32690901.0;33296687.0;33301706.0;33340451.0;33352111.0;33384332.0
Megakaryocytes,ITGA6,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),
Megakaryocytes,ITGAV,1,1,yes,yes,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),
Megakaryocytes,ITGB3,4,1,yes,yes,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),;23508472.0;25532425.0;31048353.0
Megakaryocytes,MPL,1,1,no_below_cap,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),
Megakaryocytes,NECTIN2,1,1,no_below_cap,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),
Megakaryocytes,PECAM1,1,4,no_promiscuous,yes,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),
Megakaryocytes,POU5F1,1,1,no_below_cap,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),22952951.0
Megakaryocytes,PTPRJ,1,1,no_below_cap,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),34042332.0
Megakaryocytes,SELP,2,1,yes,yes,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),;33340451.0
Megakaryocytes,SOX2,1,1,no_below_cap,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),22952951.0
Megakaryocytes,SPARC,1,1,no_below_cap,yes,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (10 spleen rows),32351704.0
Neutrophils,ALPL,3,1,no_below_cap,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),30093597.0;32603604.0;34054812.0
Neutrophils,ANPEP,4,2,yes,yes,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),;24504953.0;30898857.0;32161403.0
Neutrophils,ARG1,2,1,no_below_cap,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),30093597.0;34782790.0
Neutrophils,BST1,2,1,no_below_cap,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),;34054812.0
Neutrophils,CAMP,2,1,no_below_cap,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),33296687.0;34349096.0
Neutrophils,CCR7,3,4,no_promiscuous,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),32912924.0;34026328.0;34267752.0
Neutrophils,CD101,2,1,no_below_cap,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),32912924.0;33841435.0
Neutrophils,CD14,7,4,no_promiscuous,yes,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),;25799053.0;31209336.0;32814027.0;32912924.0;33242413.0;35095871.0
Neutrophils,CD177,4,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),;33326802.0;34296378.0;34707085.0
Neutrophils,CD34,2,4,no_promiscuous,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),32161403.0;32912924.0
Neutrophils,CD44,2,2,no_below_cap,yes,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),;25799053.0
Neutrophils,CD55,3,1,no_below_cap,yes,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),;34721400.0;35322584.0
Neutrophils,CD86,2,1,no_below_cap,yes,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),32912924.0;35251050.0
Neutrophils,CD93,2,1,no_below_cap,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),;34054812.0
