gene_name,gene_id,feature_type,id_class
APTX,ENSG00000137074,Gene Expression,ENSG
AQP2,ENSG00000167580,Gene Expression,ENSG
AQP4,ENSG00000171885,Gene Expression,ENSG
AQP5,ENSG00000161798,Gene Expression,ENSG
AQP7,ENSG00000165269,Gene Expression,ENSG
AQP8,ENSG00000103375,Gene Expression,ENSG
AQP9,ENSG00000103569,Gene Expression,ENSG
AR,ENSG00000169083,Gene Expression,ENSG
ARC,ENSG00000198576,Gene Expression,ENSG
ARF1,ENSG00000143761,Gene Expression,ENSG
ARF6,ENSG00000165527,Gene Expression,ENSG
ARFIP1,ENSG00000164144,Gene Expression,ENSG
ARG1,ENSG00000118520,Gene Expression,ENSG
ARG2,ENSG00000081181,Gene Expression,ENSG
ARHGAP35,ENSG00000160007,Gene Expression,ENSG
ARHGAP36,ENSG00000147256,Gene Expression,ENSG
ARHGEF2,ENSG00000116584,Gene Expression,ENSG
ARHGEF7,ENSG00000102606,Gene Expression,ENSG
ARID1A,ENSG00000117713,Gene Expression,ENSG
ARID3B,ENSG00000179361,Gene Expression,ENSG
ARL4D,ENSG00000175906,Gene Expression,ENSG
ARL8B,ENSG00000134108,Gene Expression,ENSG
ARMC5,ENSG00000140691,Gene Expression,ENSG
ARMC7,ENSG00000125449,Gene Expression,ENSG
ARMH3,ENSG00000120029,Gene Expression,ENSG
ARNT,ENSG00000143437,Gene Expression,ENSG
ARNT2,ENSG00000172379,Gene Expression,ENSG
ARNTL,ENSG00000133794,Gene Expression,ENSG
ARR3,ENSG00000120500,Gene Expression,ENSG
ARRB1,ENSG00000137486,Gene Expression,ENSG
ARRB2,ENSG00000141480,Gene Expression,ENSG
ARRDC3,ENSG00000113369,Gene Expression,ENSG
ART1,ENSG00000129744,Gene Expression,ENSG
ART3,ENSG00000156219,Gene Expression,ENSG
ART4,ENSG00000111339,Gene Expression,ENSG
ARX,ENSG00000004848,Gene Expression,ENSG
ASCC2,ENSG00000100325,Gene Expression,ENSG
ASCC3,ENSG00000112249,Gene Expression,ENSG
ASCL1,ENSG00000139352,Gene Expression,ENSG
ASCL2,ENSG00000183734,Gene Expression,ENSG
ASF1B,ENSG00000105011,Gene Expression,ENSG
ASH2L,ENSG00000129691,Gene Expression,ENSG
ASIC1,ENSG00000110881,Gene Expression,ENSG
ASPM,ENSG00000066279,Gene Expression,ENSG
ASPN,ENSG00000106819,Gene Expression,ENSG
ASTN2,ENSG00000148219,Gene Expression,ENSG
ASXL1,ENSG00000171456,Gene Expression,ENSG
ATAD3A,ENSG00000197785,Gene Expression,ENSG
ATF1,ENSG00000123268,Gene Expression,ENSG
ATF2,ENSG00000115966,Gene Expression,ENSG
ATF3,ENSG00000162772,Gene Expression,ENSG
ATF4,ENSG00000128272,Gene Expression,ENSG
ATF6,ENSG00000118217,Gene Expression,ENSG
