section,label_set,cell_type,call,n_all,n_senders_all,n_nonsenders_all,prevalence_pct_all,n_scored,n_senders_scored,n_nonsenders_scored,prevalence_pct_scored,pass_band,pass_senders,pass_nonsenders,passes_A3
SPLN43,fine,Smooth muscle / capsule,tierApm_p95__emt_ecm,1496,75,1421,5.013,1496,75,1421,5.013,True,False,False,False
SPLN43,fine,cDC2,tierApm_p95__emt_ecm,13625,682,12943,5.006,13625,682,12943,5.006,True,True,True,True
SPLN43,fine,Endothelial cells,tierApm_p95__il6_jak_stat3,56471,2824,53647,5.001,56471,2824,53647,5.001,True,True,True,True
SPLN43,fine,Fibroblastic reticular cells,tierApm_p95__il6_jak_stat3,5695,285,5410,5.004,5695,285,5410,5.004,True,True,True,True
SPLN43,fine,Fibroblasts,tierApm_p95__il6_jak_stat3,21564,1078,20486,4.999,21564,1078,20486,4.999,True,True,True,True
SPLN43,fine,Follicular B cells,tierApm_p95__il6_jak_stat3,45873,2294,43579,5.001,45873,2294,43579,5.001,True,True,True,True
SPLN43,fine,Neutrophils,tierApm_p95__il6_jak_stat3,2688,135,2553,5.022,2688,135,2553,5.022,True,False,False,False
SPLN43,fine,Plasma cells,tierApm_p95__il6_jak_stat3,9861,493,9368,4.999,9861,493,9368,4.999,True,True,True,True
SPLN43,fine,Red pulp macrophages,tierApm_p95__il6_jak_stat3,25453,1273,24180,5.001,25453,1273,24180,5.001,True,True,True,True
SPLN43,fine,Smooth muscle / capsule,tierApm_p95__il6_jak_stat3,1496,75,1421,5.013,1496,75,1421,5.013,True,False,False,False
SPLN43,fine,cDC2,tierApm_p95__il6_jak_stat3,13625,682,12943,5.006,13625,682,12943,5.006,True,True,True,True
SPLN43,fine,Endothelial cells,tierApm_p95__interferon_response,56471,2824,53647,5.001,56471,2824,53647,5.001,True,True,True,True
SPLN43,fine,Fibroblastic reticular cells,tierApm_p95__interferon_response,5695,285,5410,5.004,5695,285,5410,5.004,True,True,True,True
SPLN43,fine,Fibroblasts,tierApm_p95__interferon_response,21564,1079,20485,5.004,21564,1079,20485,5.004,True,True,True,True
SPLN43,fine,Follicular B cells,tierApm_p95__interferon_response,45873,2294,43579,5.001,45873,2294,43579,5.001,True,True,True,True
SPLN43,fine,Neutrophils,tierApm_p95__interferon_response,2688,135,2553,5.022,2688,135,2553,5.022,True,False,False,False
SPLN43,fine,Plasma cells,tierApm_p95__interferon_response,9861,493,9368,4.999,9861,493,9368,4.999,True,True,True,True
SPLN43,fine,Red pulp macrophages,tierApm_p95__interferon_response,25453,1273,24180,5.001,25453,1273,24180,5.001,True,True,True,True
SPLN43,fine,Smooth muscle / capsule,tierApm_p95__interferon_response,1496,75,1421,5.013,1496,75,1421,5.013,True,False,False,False
SPLN43,fine,cDC2,tierApm_p95__interferon_response,13625,682,12943,5.006,13625,682,12943,5.006,True,True,True,True
SPLN43,fine,Endothelial cells,tierApm_p95__oxidative_stress,56471,2824,53647,5.001,56471,2824,53647,5.001,True,True,True,True
SPLN43,fine,Fibroblastic reticular cells,tierApm_p95__oxidative_stress,5695,285,5410,5.004,5695,285,5410,5.004,True,True,True,True
SPLN43,fine,Fibroblasts,tierApm_p95__oxidative_stress,21564,1079,20485,5.004,21564,1079,20485,5.004,True,True,True,True
SPLN43,fine,Follicular B cells,tierApm_p95__oxidative_stress,45873,2294,43579,5.001,45873,2294,43579,5.001,True,True,True,True
SPLN43,fine,Neutrophils,tierApm_p95__oxidative_stress,2688,135,2553,5.022,2688,135,2553,5.022,True,False,False,False
SPLN43,fine,Plasma cells,tierApm_p95__oxidative_stress,9861,493,9368,4.999,9861,493,9368,4.999,True,True,True,True
SPLN43,fine,Red pulp macrophages,tierApm_p95__oxidative_stress,25453,1273,24180,5.001,25453,1273,24180,5.001,True,True,True,True
SPLN43,fine,Smooth muscle / capsule,tierApm_p95__oxidative_stress,1496,75,1421,5.013,1496,75,1421,5.013,True,False,False,False
SPLN43,fine,cDC2,tierApm_p95__oxidative_stress,13625,682,12943,5.006,13625,682,12943,5.006,True,True,True,True
SPLN43,fine,Endothelial cells,tierApm_p95__secondary_senescence,56471,2824,53647,5.001,56471,2824,53647,5.001,True,True,True,True
SPLN43,fine,Fibroblastic reticular cells,tierApm_p95__secondary_senescence,5695,285,5410,5.004,5695,285,5410,5.004,True,True,True,True
