Level_3_Annotations,section,CD4 T cells,Endothelial cells,Erythroid cells,Fibroblasts,Follicular B cells,Low_quality,Megakaryocytes,Monocytes,NK cells,Neutrophils,Plasma cells,Red pulp macrophages,Smooth muscle / capsule,Unknown,CD8 T cells,Fibroblastic reticular cells,cDC2,Germinal centre B cells,cDC1
Red pulp fibroblasts,SPLN30,610.0,433,,188,1145,,,63.0,,7.0,175,556,12615,2319,,,,,
Red pulp macrophages,SPLN30,1322.0,777,,1,2755,,,457.0,,31.0,285,23062,631,5599,,,,,
Sinusoidal endothelial cells (littoral cells),SPLN30,1118.0,38500,,1,218,,,23.0,,7.0,68,378,173,2721,,,,,
Smooth muscle,SPLN30,565.0,519,,182,2755,,,16.0,,2.0,234,786,4653,1390,,,,,
T cell zone reticular cells CCL21+ CCL19+,SPLN30,1907.0,45,,2549,1139,,,3.0,,0.0,140,52,324,188,,,,,
T cell zone reticular cells CXCL9+,SPLN30,6.0,0,,1,3,,,0.0,,0.0,20,72,0,2,,,,,
T cells,SPLN30,13527.0,299,,30,1593,,,13.0,,1.0,424,256,179,2102,,,,,
Vascular smooth muscle cells,SPLN30,2.0,10,,82,7,,,0.0,,0.0,3,2,1640,3,,,,,
White pulp macrophages,SPLN30,64.0,6,,11,178,,,2.0,,0.0,13,1126,36,38,,,,,
"gdT cells, NK cells, and T cells",SPLN30,1459.0,109,,1,582,,,3.0,,11.0,93,192,63,2543,,,,,
Arterial endothelial cells (KDR+ CD34+),SPLN43,,803,,165,15,93.0,,,,1.0,13,20,3,58,,4374.0,21.0,,
B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),SPLN43,,8,,413,613,115.0,,,,0.0,3,11,0,82,,16.0,17.0,,
B cell zone reticular cells CXCL13+MADCAM1+,SPLN43,,2,,69,2040,42.0,,,,0.0,14,1,0,108,,2.0,6.0,,
B cells,SPLN43,,149,,81,30068,3956.0,,,,2.0,186,69,0,665,,28.0,217.0,,
Conventional dendritic cells,SPLN43,,1,,3,34,15.0,,,,1.0,13,41,0,14,,0.0,1.0,,
Erythroid,SPLN43,,341,,14,7,261.0,,,,1.0,28,39,0,92,,1.0,201.0,,
"Germinal center B cells, proliferating",SPLN43,,0,,0,99,1.0,,,,1.0,1263,0,0,72,,0.0,0.0,,
Low quality,SPLN43,,3260,,2000,1441,10270.0,,,,35.0,222,1039,0,17827,,420.0,6587.0,,
