section,our_label_set,depositor_L3,n,modal_our_label,modal_share,frac_unknown,frac_lowquality
SPLN30,cell_type,White pulp macrophages,1474,Red pulp macrophages,0.7639,0.0258,0.0
SPLN30,cell_type,"gdT cells, NK cells, and T cells",5056,Unknown,0.503,0.503,0.0
SPLN30,cell_type_merged,Arterial endothelial cells (KDR+ CD34+),4651,Endothelial,0.9153,0.0211,0.0
SPLN30,cell_type_merged,B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),717,B cells,0.523,0.1646,0.0
SPLN30,cell_type_merged,B cell zone reticular cells CXCL13+MADCAM1+,2657,B cells,0.5811,0.114,0.0
SPLN30,cell_type_merged,B cells,47007,B cells,0.8717,0.0572,0.0
SPLN30,cell_type_merged,Conventional dendritic cells,854,Mono/Mac/DC,0.5351,0.0433,0.0
SPLN30,cell_type_merged,Erythroid,693,Unknown,0.5036,0.5036,0.0
SPLN30,cell_type_merged,"Germinal center B cells, proliferating",845,Plasma cells,0.9254,0.0296,0.0
SPLN30,cell_type_merged,Low quality,48418,Unknown,0.4546,0.4546,0.0
SPLN30,cell_type_merged,Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,3576,Stromal,0.7083,0.1096,0.0
SPLN30,cell_type_merged,Metamyelocyte/Band Neutrophils DEFA1+,3068,Unknown,0.2229,0.2229,0.0
SPLN30,cell_type_merged,Monocytes,4053,Mono/Mac/DC,0.8278,0.0575,0.0
SPLN30,cell_type_merged,NK cells,11911,Unknown,0.7491,0.7491,0.0
SPLN30,cell_type_merged,Neutrophils,5102,Unknown,0.6429,0.6429,0.0
SPLN30,cell_type_merged,Plasma cells,16693,Plasma cells,0.7164,0.0933,0.0
SPLN30,cell_type_merged,Promyelocyte,776,Neutrophils,0.5309,0.2062,0.0
SPLN30,cell_type_merged,Red pulp fibroblasts,18111,Stromal,0.7069,0.128,0.0
SPLN30,cell_type_merged,Red pulp macrophages,34920,Mono/Mac/DC,0.6735,0.1603,0.0
SPLN30,cell_type_merged,Sinusoidal endothelial cells (littoral cells),43207,Endothelial,0.8911,0.063,0.0
SPLN30,cell_type_merged,Smooth muscle,11102,Stromal,0.4355,0.1252,0.0
SPLN30,cell_type_merged,T cell zone reticular cells CCL21+ CCL19+,6347,Stromal,0.4527,0.0296,0.0
SPLN30,cell_type_merged,T cell zone reticular cells CXCL9+,104,Mono/Mac/DC,0.6923,0.0192,0.0
SPLN30,cell_type_merged,T cells,18424,T/NK cells,0.7342,0.1141,0.0
SPLN30,cell_type_merged,Vascular smooth muscle cells,1749,Stromal,0.9846,0.0017,0.0
SPLN30,cell_type_merged,White pulp macrophages,1474,Mono/Mac/DC,0.7653,0.0258,0.0
SPLN30,cell_type_merged,"gdT cells, NK cells, and T cells",5056,Unknown,0.503,0.503,0.0
SPLN43,cell_type,Arterial endothelial cells (KDR+ CD34+),5566,Fibroblastic reticular cells,0.7858,0.0104,0.0167
SPLN43,cell_type,B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),1278,Follicular B cells,0.4797,0.0642,0.09
SPLN43,cell_type,B cell zone reticular cells CXCL13+MADCAM1+,2284,Follicular B cells,0.8932,0.0473,0.0184
SPLN43,cell_type,B cells,35421,Follicular B cells,0.8489,0.0188,0.1117
SPLN43,cell_type,Conventional dendritic cells,123,Red pulp macrophages,0.3333,0.1138,0.122
SPLN43,cell_type,Erythroid,985,Endothelial cells,0.3462,0.0934,0.265
SPLN43,cell_type,"Germinal center B cells, proliferating",1436,Plasma cells,0.8795,0.0501,0.0007
SPLN43,cell_type,Low quality,43101,Unknown,0.4136,0.4136,0.2383
SPLN43,cell_type,Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,1633,Fibroblasts,0.7171,0.0514,0.0312
SPLN43,cell_type,Metamyelocyte/Band Neutrophils DEFA1+,4485,Neutrophils,0.2638,0.1703,0.0662
SPLN43,cell_type,Monocytes,3568,Red pulp macrophages,0.7901,0.0625,0.0213
SPLN43,cell_type,NK cells,5668,Unknown,0.7366,0.7366,0.0146
SPLN43,cell_type,Neutrophils,15179,Unknown,0.7822,0.7822,0.0748
SPLN43,cell_type,Plasma cells,11690,Plasma cells,0.6164,0.093,0.0623
SPLN43,cell_type,Promyelocyte,1826,Neutrophils,0.7711,0.0581,0.0422
SPLN43,cell_type,Red pulp fibroblasts,20910,Fibroblasts,0.5797,0.1347,0.092
SPLN43,cell_type,Red pulp macrophages,31119,Red pulp macrophages,0.5491,0.1299,0.1423
SPLN43,cell_type,Sinusoidal endothelial cells (littoral cells),50346,Endothelial cells,0.8974,0.0297,0.0427
SPLN43,cell_type,Smooth muscle,11215,Fibroblasts,0.2692,0.126,0.1486
SPLN43,cell_type,T cell zone reticular cells CCL21+ CCL19+,691,Unknown,0.369,0.369,0.0796
SPLN43,cell_type,T cell zone reticular cells CXCL9+,45,Unknown,0.4222,0.4222,0.0
SPLN43,cell_type,T cells,12325,Unknown,0.6789,0.6789,0.0397
SPLN43,cell_type,Vascular smooth muscle cells,2359,Smooth muscle / capsule,0.5625,0.0051,0.0089
SPLN43,cell_type,White pulp macrophages,1902,Follicular B cells,0.6577,0.0904,0.0289
SPLN43,cell_type,"gdT cells, NK cells, and T cells",5168,Unknown,0.7028,0.7028,0.0346
SPLN43,cell_type_merged,Arterial endothelial cells (KDR+ CD34+),5566,Stromal,0.816,0.007,0.0167
